"","IdePoAvfu1","IdePoAvse1","Respperzipav1","Zipperdistav1"
"1",0.0210009751228985,0.618718392995269,1820.2,69.98
"2",0.0214056887833993,0.618670318462416,1820.2,69.98
"3",0.0211403885077277,0.618737198604027,1820.2,69.98
"4",0.0232298512359137,0.625576570126715,1820.2,69.98
"5",0.0197667430431832,0.620546505248088,1820.2,69.98
"6",0.0208498193302503,0.618720201562881,1820.2,69.98
"7",0.0201817706040919,0.624836973297848,1820.2,69.98
"8",0.0200565204042716,0.624897826521563,1820.2,69.98
"9",0.0197507267037853,0.620426911753896,1820.2,69.98
"10",0.0229411769227442,0.622861084803615,1820.2,69.98
"11",0.0209536616554921,0.618708808297121,1820.2,69.98
"12",0.020289619504919,0.624870545312492,1820.2,69.98
"13",0.0094878242306622,0.627234402860314,1820.2,69.98
"14",-0.0225793969879269,0.623734738706959,1820.2,69.98
