"","IdePoAvfu1","IdePoAvse1","Respperzipav1","Zipperdistav1"
"1",0.0231832122866349,0.622900383408447,1820.2,69.98
"2",-0.0237484709259704,0.623681214497369,1820.2,69.98
"3",0.0198311111859552,0.620429974139007,1820.2,69.98
"4",0.0581490049222294,0.625215086571122,1820.2,69.98
"5",-0.0227407056405928,0.623666887279381,1820.2,69.98
"6",0.0204888046549234,0.624848838357798,1820.2,69.98
"7",0.0376508096493087,0.622679318498173,1820.2,69.98
"8",0.0203404431545264,0.624870055020205,1820.2,69.98
"9",0.0230859808110987,0.625578320462347,1820.2,69.98
"10",0.0213641714596109,0.618645300622566,1820.2,69.98
"11",0.0232977244762164,0.625572815459805,1820.2,69.98
"12",0.0237954442186452,0.62568366641957,1820.2,69.98
"13",0.0208646061274527,0.618713947070178,1820.2,69.98
