,IdePoAvfu1,IdePoAvse1,Respperzipav1,Zipperdistav1
1,-0.022919106,0.623659127,1820.2,69.98
2,0.019122076,0.620446214,1820.2,69.98
3,0.023557756,0.625656291,1820.2,69.98
4,-0.022774464,0.623799428,1820.2,69.98
5,-0.011777955,0.621972741,1820.2,69.98
6,0.021515956,0.618678837,1820.2,69.98
7,0.023790003,0.6256798,1820.2,69.98
8,0.021653276,0.618676189,1820.2,69.98
9,0.024147659,0.625643558,1820.2,69.98
10,0.038819049,0.622595721,1820.2,69.98
11,0.029296439,0.624613542,1820.2,69.98
12,0.019847262,0.620429668,1820.2,69.98
13,0.023487594,0.622943658,1820.2,69.98
14,0.021433515,0.618610068,1820.2,69.98
15,0.019333112,0.620420054,1820.2,69.98
16,0.022974583,0.62295215,1820.2,69.98
17,0.019796729,0.620430253,1820.2,69.98
18,0.021707845,0.618690763,1820.2,69.98
19,0.008534389,0.627060013,1820.2,69.98
20,0.019462475,0.620412219,1820.2,69.98
