"ID","Area","ZCTA5CE00","CLASSFP00","MTFCC00","FUNCSTAT00","Group.1","ideal_point","ideal_point_se"
104,32.732300,"24138","B5","G6350","S",24138,0.151029,0.721752
105,61.079052,"24141","B5","G6350","S",24141,0.174772,0.656241
106,27.326752,"24292","B5","G6350","S",24292,-1.251463,0.729394
107,74.126251,"24363","B5","G6350","S",24363,-0.658347,0.579388
108,108.980957,"24348","B5","G6350","S",24348,0.166683,0.639566
109,77.786995,"24378","B5","G6350","S",,,
110,56.274536,"24326","B5","G6350","S",24326,-0.512263,0.762738
111,183.716965,"234HH","B5","G6350","S",,,
112,7.152500,"23395","B5","G6350","S",23395,0.621539,0.397369
113,47.119560,"23417","B5","G6350","S",23417,0.411550,0.670715
114,10.874496,"23409","B5","G6350","S",23409,-0.305564,0.497127
115,2.682384,"23389","B5","G6350","S",23389,-1.090567,0.936949
116,0.124469,"23302","B5","G6350","S",,,
117,3.009483,"23426","B5","G6350","S",23426,1.559779,0.491565
118,4.828481,"23480","B5","G6350","S",,,
119,5.856872,"23358","B5","G6350","S",23358,-1.437346,0.949418
120,0.187888,"23441","B5","G6350","S",23441,1.708965,0.459078
121,34.163891,"23423","B5","G6350","S",,,
122,37.192940,"23308","B5","G6350","S",23308,0.952966,0.468119
123,11.560478,"23306","B5","G6350","S",,,
124,3.991292,"23404","B5","G6350","S",23404,-1.915432,0.543156
125,31.095314,"23421","B5","G6350","S",23421,0.717507,0.515291
126,30.623199,"23442","B5","G6350","S",23442,-1.736506,0.679010
127,6.050830,"23418","B5","G6350","S",23418,-1.888487,0.525389
128,7.606560,"23488","B5","G6350","S",,,
129,2.720510,"23401","B5","G6350","S",23401,0.015428,0.500703
130,27.800623,"23301","B5","G6350","S",,,
131,73.609497,"24589","B5","G6350","S",24589,-0.246045,0.446850
132,93.652061,"24520","B5","G6350","S",24520,-0.584059,0.445612
133,161.428619,"24557","B5","G6350","S",24557,0.554848,0.624515
134,90.148506,"24558","B5","G6350","S",24558,-0.179089,0.709108
135,73.798164,"24598","B5","G6350","S",24598,0.450786,0.785858
136,136.714264,"24592","B5","G6350","S",24592,0.233798,0.696591
137,6.171366,"24539","B5","G6350","S",24539,1.213752,0.780344
138,50.735836,"24597","B5","G6350","S",24597,-0.827911,0.915475
139,58.579353,"24565","B5","G6350","S",,,
140,74.491646,"24534","B5","G6350","S",24534,-0.486724,0.714044
141,48.205494,"24594","B5","G6350","S",24594,-0.319709,0.589908
142,189.694290,"24577","B5","G6350","S",24577,0.245522,0.649662
143,74.024307,"23192","B5","G6350","S",23192,0.661533,0.641942
144,33.468624,"23146","B5","G6350","S",23146,1.028406,0.724329
145,43.119820,"23047","B5","G6350","S",23047,0.810468,0.700550
146,58.838486,"23116","B5","G6350","S",23116,0.442139,0.587081
147,86.591751,"23015","B5","G6350","S",23015,-0.121968,0.387580
148,74.952103,"23111","B5","G6350","S",23111,0.290342,0.632511
149,28.616430,"23102","B5","G6350","S",23102,0.847921,0.635371
150,65.640488,"23124","B5","G6350","S",23124,0.348019,1.078540
151,43.444824,"23059","B5","G6350","S",23059,0.397589,0.553376
152,154.038818,"22546","B5","G6350","S",22546,0.144372,0.643429
153,72.501602,"23005","B5","G6350","S",23005,0.260551,0.679773
154,64.595184,"23069","B5","G6350","S",23069,1.922242,0.588739
155,108.854889,"23024","B5","G6350","S",23024,0.147345,0.557784
156,3.881278,"23416","B5","G6350","S",23416,-0.163459,0.497698
157,36.559502,"23415","B5","G6350","S",23415,0.930978,0.601222
158,22.492540,"23336","B5","G6350","S",23336,0.344887,0.760504
159,2.266674,"23303","B5","G6350","S",23303,1.184698,0.509466
160,3.090090,"23407","B5","G6350","S",23407,-0.648326,1.311100
161,37.248409,"23420","B5","G6350","S",23420,-2.058614,0.452299
