"","term","estimate","std.error","statistic","p.value"
"1","Job.Creation.Tax.Credit",-13866.6064526912,6252.48291422355,-2.21777598482462,0.0265815643012095
"2","Investment.Tax.Credit",-24143.6599823409,11310.4391974141,-2.13463505359374,0.0328032350134004
"3","Research.and.Development.Credit",-121476.00171417,37950.8524897588,-3.20087675888047,0.00137229142932651
"4","Property.Tax.Abatement",-3695.04995353682,6032.51510652945,-0.61252228768352,0.540199382749815
"5","Customized.Job.Training.Subsidy",-272547.206722193,40216.5085485516,-6.77699821686806,1.26195277266275e-11
