="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)"
="",="1 0",="1 1",="2 0",="2 1",="3 0",="3 1",="4 0",="4 1",="5 0",="5 1",="1 0",="1 1",="2 0",="2 1",="3 0",="3 1",="4 0",="4 1",="5 0",="5 1",="1 0",="1 1",="2 0",="2 1",="3 0",="3 1",="4 0",="4 1",="5 0",="5 1",="1 0",="1 1",="2 0",="2 1",="3 0",="3 1",="4 0",="4 1",="5 0",="5 1",="1 0",="1 1",="2 0",="2 1",="3 0",="3 1",="4 0",="4 1",="5 0",="5 1",="1 0",="1 1",="2 0",="2 1",="3 0",="3 1",="4 0",="4 1",="5 0",="5 1"
="",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean",="mean"
="GDP",="7815.241",="7542.528",="9649.243",="7429.686",="7593.454",="5849.98",="7900.164",="3917.144",="7674.511",="3042.744",="7815.241",="7542.528",="9649.243",="7429.686",="7593.454",="5849.98",="7900.164",="3917.144",="7674.511",="3042.744",="7815.241",="7542.528",="9649.243",="7429.686",="7593.454",="5849.98",="7900.164",="3917.144",="7674.511",="3042.744",="7815.241",="7542.528",="9649.243",="7429.686",="7593.454",="5849.98",="7900.164",="3917.144",="7674.511",="3042.744",="7815.241",="7542.528",="9649.243",="7429.686",="7593.454",="5849.98",="7900.164",="3917.144",="7674.511",="3042.744",="7815.241",="7542.528",="9649.243",="7429.686",="7593.454",="5849.98",="7900.164",="3917.144",="7674.511",="3042.744"
="Observations",="29",="3897",="115",="3812",="240",="3654",="360",="3567",="517",="3377",="29",="3897",="115",="3812",="240",="3654",="360",="3567",="517",="3377",="29",="3897",="115",="3812",="240",="3654",="360",="3567",="517",="3377",="29",="3897",="115",="3812",="240",="3654",="360",="3567",="517",="3377",="29",="3897",="115",="3812",="240",="3654",="360",="3567",="517",="3377",="29",="3897",="115",="3812",="240",="3654",="360",="3567",="517",="3377"
