"treatment","n","ESS.es.mean","ESS:ks.mean"
"1",4892,3486.21696705049,3437.94531160454
"2",4892,3927.78341828409,3924.44357760127
"3",4892,4215.66575805054,4211.50232747967
"4",4892,3554.31165297259,3554.31165297259
