StateFull,Year,Place of residence profile,Personal income (millions of dollars),Derivation of personal income,Net earnings by place of residence,Personal current transfer receipts,Income maintenance benefits 1/,Unemployment insurance compensation,Retirement and other,"Dividends, interest, and rent",Personal dividend income,Personal interest income,Imputed interest receipts 2/,Monetary interest receipts,Rental income of persons,Imputed rent,Monetary rent,Population (persons) 3/,Per capita incomes (dollars),Per capita personal income 4/,Per capita net earnings 4/,Per capita personal current transfer receipts 4/,Per capita income maintenance benefits 4/,Per capita unemployment insurance compensation 4/,Per capita retirement and other 4/,"Per capita dividends, interest, and rent 4/",Per capita dividends 4/,Per capita interest 4/,Per capita rent 4/,Place of work profile (millions of dollars),Earnings by place of work,Wages and salaries,Supplements to wages and salaries,Employer contributions for employee pension and insurance funds 5/,Employer contributions for government social insurance,Proprietors' income,Farm proprietors' income,Nonfarm proprietors' income,Total employment (number of jobs),Wage and salary employment,Proprietors employment,Farm proprietors employment 6/,Nonfarm proprietors employment,Average earnings per job (dollars),Average wages and salaries,Average nonfarm proprietors' income,Column1
Alabama,1998,NA,100081,NA,65001.3,15987.1,1911.8,226.3,13849,19092.6,4137.5,13134.3,8148.6,4985.7,1820.8,1250.4,570.4,4404701,NA,22721,14757,3630,434,51,3144,4335,939,2982,413,NA,72164.9,52742.6,11572.6,7595.6,3977,7849.7,928.3,6921.5,2361892,1994381,367511,51389,316122,30554,26446,21895,
Alabama,1999,NA,103536,NA,67967.5,16653,1913.4,225.1,14514.5,18915.6,3950.5,12966.9,8289.9,4677,1998.1,1419,579.1,4430141,NA,23371,15342,3759,432,51,3276,4270,892,2927,451,NA,75429.1,55189.9,12108.4,7981.7,4126.7,8130.8,1108.2,7022.5,2378217,2007120,371097,50130,320967,31717,27497,21879,
Alabama,2000,NA,108506.2,NA,70349.1,17749.7,1919.8,238.1,15591.8,20407.5,4271,14030.9,8665.4,5365.5,2105.6,1540.3,565.3,4452173,NA,24372,15801,3987,431,53,3502,4584,959,3151,473,NA,77978.5,57239.3,12689.4,8415.8,4273.6,8049.9,811.8,7238.1,2392225,2008801,383424,48927,334497,32597,28494,21639,
Alabama,2001,NA,112312.1,NA,72434.9,19206.8,2014.6,326.6,16865.6,20670.4,4032.4,14165.4,8685.8,5479.6,2472.7,1880.8,591.8,4467634,NA,25139,16213,4299,451,73,3775,4627,903,3171,553,NA,80308.9,58650.3,13414,9031.5,4382.5,8244.6,1196.1,7048.5,2376053,1988175,387878,47687,340191,33799,29500,20719,
Alabama,2002,NA,115166.1,NA,74535.8,20554.1,2255.9,419,17879.1,20076.2,4546,12883.2,8610.6,4272.5,2647.1,2041.1,606,4480089,NA,25706,16637,4588,504,94,3991,4481,1015,2876,591,NA,82646,60175.1,14006.7,9514,4492.7,8464.2,798.9,7665.3,2364828,1971265,393563,41915,351648,34948,30526,21798,
Alabama,2003,NA,120209.9,NA,77532.8,21812.3,2460.6,411.2,18940.5,20864.8,5187.8,12931.4,8914.2,4017.2,2745.6,2113.3,632.2,4503491,NA,26693,17216,4843,546,91,4206,4633,1152,2871,610,NA,85908.5,62193.4,14925.8,10256.3,4669.5,8789.3,1151.5,7637.7,2371430,1965711,405719,40802,364917,36226,31639,20930,
Alabama,2004,NA,128669.9,NA,82722.7,23106.9,2650.9,283.6,20172.4,22840.3,7534.1,12358.7,9120.9,3237.8,2947.6,2350.9,596.6,4530729,NA,28399,18258,5100,585,63,4452,5041,1663,2728,651,NA,91565.7,65590.7,16034.4,11160.9,4873.5,9940.6,1598.2,8342.4,2425649,2000342,425307,39137,386170,37749,32790,21603,
Alabama,2005,NA,136215.3,NA,87393.3,24851.2,2859.8,245.3,21746.1,23970.9,7460.3,14033.7,9549.8,4483.9,2476.9,1847.3,629.6,4569805,NA,29808,19124,5438,626,54,4759,5245,1633,3071,542,NA,96828,69328.2,17068.7,11915.5,5153.2,10431.2,1496.6,8934.5,2486833,2036267,450566,38955,411611,38936,34047,21706,
Alabama,2006,NA,144914.3,NA,92166.1,26763.9,2874.8,233.1,23655.9,25984.3,8767.9,15090,9961.2,5128.8,2126.5,1474.3,652.1,4628981,NA,31306,19911,5782,621,50,5110,5613,1894,3260,459,NA,102222.5,73732.1,17414.6,12057.5,5357.1,11075.8,820.1,10255.7,2545556,2073063,472493,37981,434512,40157,35567,23603,
Alabama,2007,NA,152210.6,NA,95066.1,28811.5,3274.2,252.6,25284.7,28333.1,9888.9,16604.2,10616.8,5987.4,1840,1119.2,720.8,4672840,NA,32573,20344,6166,701,54,5411,6063,2116,3553,394,NA,105563.7,77269,18017.2,12433.5,5583.8,10277.5,607,9670.5,2604078,2095767,508311,43127,465184,40538,36869,20789,
Alabama,2008,NA,157479.5,NA,95443.1,32178.8,3470.1,419.4,28289.3,29857.6,9944.1,17323.2,11461.6,5861.7,2590.3,1693.2,897.1,4718206,NA,33377,20229,6820,735,89,5996,6328,2108,3672,549,NA,106215,79137.6,18501.3,12755.8,5745.5,8576.1,649.3,7926.8,2582591,2075014,507577,41846,465731,41127,38138,17020,
Alabama,2009,NA,155254.7,NA,93652.7,34676.8,4074.1,1094.5,29508.2,26925.2,6921.6,16578.5,11750.5,4828.1,3425,2544.1,880.9,4757938,NA,32631,19683,7288,856,230,6202,5659,1455,3484,720,NA,104184.6,76306.3,19032.7,13425.6,5607.1,8845.6,706.7,8138.9,2479507,1968098,511409,41130,470279,42018,38772,17306,
Alabama,2010,NA,161965.5,NA,96225.8,37978.3,4563.7,1163.6,32251,27761.4,6728.9,16805.5,11999.4,4806.1,4227,3194.9,1032.1,4785579,NA,33844,20107,7936,954,243,6739,5801,1406,3512,883,NA,107048.2,77298.1,19528.6,13626.8,5901.7,10221.5,564.8,9656.6,2460298,1949629,510669,40745,469924,43510,39648,20549,
Alabama,2011,NA,167675.6,NA,100189.4,38720.4,4824.1,929.9,32966.4,28765.8,7911.9,15507.5,11479.7,4027.8,5346.3,4062.4,1283.9,4798649,NA,34942,20879,8069,1005,194,6870,5995,1649,3232,1114,NA,109802.6,78941.8,19966.9,13889.9,6077,10893.9,198.3,10695.6,2497933,1949307,548626,40047,508579,43957,40497,21030,
Alabama,2012,NA,172427.9,NA,103069.4,38861.7,4743.4,658.1,33460.3,30496.7,9394.4,15439.6,11396.9,4042.7,5662.7,4361.3,1301.5,4813946,NA,35818,21411,8073,985,137,6951,6335,1951,3207,1176,NA,112660.6,81166.9,19201.9,13038.3,6163.6,12291.9,453.6,11838.3,2503678,1963937,539741,38191,501550,44998,41329,23603,
Alabama,2013,NA,174118.7,NA,104659.9,39709.4,4787.6,465.3,34456.5,29749.4,8992.9,14809.9,11262.5,3547.3,5946.6,4598,1348.6,4827660,NA,36067,21679,8225,992,96,7137,6162,1863,3068,1232,NA,115977.9,82339.3,19846.2,13580.2,6266,13792.3,1833.8,11958.6,2523338,1979360,543978,38707,505271,45962,41599,23668,
Alabama,2014,NA,180220.3,NA,107423.3,41354.8,4761.3,269,36324.5,31442.2,9891.8,15278.6,11586.4,3692.2,6271.8,4752.7,1519.1,4840037,NA,37235,22195,8544,984,56,7505,6496,2044,3157,1296,NA,119126.9,85142.7,20872.1,14495.8,6376.3,13112.2,1231.1,11881.1,2552891,1996182,556709,38639,518070,46664,42653,22933,
Alabama,2015,NA,187301.6,NA,110895.4,43042.1,4735.8,230.2,38076.1,33364,10756.7,15872.9,11978.8,3894.1,6734.5,5146.6,1587.9,4850858,NA,38612,22861,8873,976,47,7849,6878,2217,3272,1388,NA,123134.1,88342.8,22012.2,15420.6,6591.6,12779.1,1210.3,11568.7,2588248,2024720,563528,38341,525187,47574,43632,22028,
Alabama,2016,NA,190991.2,NA,112833.2,44087.7,4639.9,220.3,39227.4,34070.3,11129.5,15885.3,11917.5,3967.9,7055.4,5374.8,1680.6,4860545,NA,39294,23214,9071,955,45,8071,7010,2290,3268,1452,NA,125219.3,90513.8,22437.2,15812.8,6624.4,12268.3,615.6,11652.7,2620993,2049658,571335,39001,532334,47776,44160,21890,
Alabama,2017,NA,198916.4,NA,117833.6,45594.1,4502.8,184.9,40906.4,35488.7,11494,16551.7,12186.2,4365.4,7443,5777.5,1665.5,4874747,NA,40805,24172,9353,924,38,8391,7280,2358,3395,1527,NA,130790.1,93889.3,23242.8,16416.6,6826.1,13658,1071.9,12586.1,2652406,2072223,580183,38638,541545,49310,45308,23241,
Alaska,1998,NA,18046,NA,12156.8,2470.7,259.6,109.2,2101.9,3418.5,684,2375.7,1689.2,686.5,358.8,184.5,174.4,619932,NA,29110,19610,3985,419,176,3391,5514,1103,3832,579,NA,14527.4,10328.9,2531.5,1715.1,816.4,1666.9,9.6,1657.3,382166,298940,83226,547,82679,38013,34552,20045,
Alaska,1999,NA,18603.1,NA,12485.4,2715.5,246.5,122.7,2346.2,3402.3,665.6,2355.5,1706.7,648.7,381.3,212.9,168.4,624779,NA,29776,19984,4346,395,196,3755,5446,1065,3770,610,NA,14882.1,10482.8,2648.7,1824.2,824.4,1750.6,9.2,1741.4,381307,299907,81400,546,80854,39029,34954,21538,
Alaska,2000,NA,20020.3,NA,13345.2,3077.4,283,111,2683.4,3597.7,722.1,2490.1,1747.2,742.8,385.5,224,161.4,627963,NA,31881,21252,4901,451,177,4273,5729,1150,3965,614,NA,15867.1,11077.3,2818.4,1957.9,860.5,1971.4,13.9,1957.5,389734,307474,82260,549,81711,40713,36027,23956,
Alaska,2001,NA,21181.7,NA,14428.7,3219.5,293.3,110.3,2815.9,3533.5,663.4,2449.5,1695.3,754.2,420.6,250.9,169.7,633714,NA,33425,22768,5080,463,174,4444,5576,1047,3865,664,NA,17029.5,11733.8,3153.3,2255.8,897.5,2142.4,13.1,2129.3,394565,313492,81073,559,80514,43160,37429,26446,
Alaska,2002,NA,22201.9,NA,15403.8,3307.4,320.4,159.1,2827.9,3490.8,653.1,2395,1799,596,442.7,268.6,174.1,642337,NA,34564,23981,5149,499,248,4403,5434,1017,3729,689,NA,18023,12324.3,3382.6,2440.3,942.2,2316.1,12.7,2303.4,402187,319545,82642,530,82112,44812,38568,28052,
Alaska,2003,NA,23190.6,NA,16360.7,3245.9,333.9,166.5,2745.5,3584,682.6,2439.4,1890.8,548.6,462,284,178.1,648414,NA,35765,25232,5006,515,257,4234,5527,1053,3762,713,NA,18952.1,12794.9,3730.6,2758.6,972,2426.7,5.7,2421,405621,323689,81932,516,81416,46724,39528,29736,
Alaska,2004,NA,24270.4,NA,17307.5,3208.4,353.6,123.5,2731.2,3754.5,920.9,2296.9,1869.8,427.1,536.7,311.8,224.9,659286,NA,36813,26252,4866,536,187,4143,5695,1397,3484,814,NA,19930.4,13460.8,3993.5,2954.6,1038.9,2476.1,8.2,2467.9,413864,329719,84145,518,83627,48157,40825,29510,
Alaska,2005,NA,25888.5,NA,18492.2,3404.5,381.2,107.2,2916.1,3991.9,1002.7,2553.6,1942.6,611,435.6,258.7,176.8,666946,NA,38817,27727,5105,572,161,4372,5985,1503,3829,653,NA,21161,14256.3,4327.2,3210.2,1117,2577.4,7.8,2569.6,421419,335454,85965,540,85425,50214,42499,30080,
Alaska,2006,NA,27607,NA,19547.3,3615.5,397.8,96.5,3121.1,4444.2,1277.8,2761.2,2029.4,731.8,405.2,200.2,205,675302,NA,40881,28946,5354,589,143,4622,6581,1892,4089,600,NA,22329.8,15122.6,4471.8,3255.5,1216.2,2735.4,4,2731.4,431320,342900,88420,535,87885,51771,44102,31079,
Alaska,2007,NA,29712.5,NA,20623.6,4083.8,421.6,90.4,3571.8,5005.1,1585.8,3042.6,2130.2,912.4,376.7,151.6,225.2,680300,NA,43676,30315,6003,620,133,5250,7357,2331,4472,554,NA,23393.3,16103.3,4681,3433.4,1247.6,2609,2.9,2606.1,439825,346504,93321,577,92744,53188,46474,28099,
Alaska,2008,NA,32701.9,NA,21713.8,5461.3,455.5,111.2,4894.7,5526.7,1786.7,3198.4,2272,926.4,541.6,251.6,289.9,687455,NA,47569,31586,7944,663,162,7120,8039,2599,4653,788,NA,24430.4,17038,4773.1,3493.2,1279.8,2619.3,-12.9,2632.2,443538,351102,92436,587,91849,55081,48527,28658,
Alaska,2009,NA,32749.1,NA,22705,4747.7,585.5,215.4,3946.7,5296.5,1380.5,3204.7,2470.2,734.5,711.3,394.4,316.8,698895,NA,46858,32487,6793,838,308,5647,7578,1975,4585,1018,NA,25470.7,17532.6,5004.5,3702.4,1302.1,2933.7,-14.2,2947.8,442447,350471,91976,596,91380,57568,50026,32259,
Alaska,2010,NA,35162.9,NA,24123.5,5336,773.4,270.6,4291.9,5703.4,1471.6,3307.2,2579.2,728,924.6,552.9,371.7,714015,NA,49247,33786,7473,1083,379,6011,7988,2061,4632,1295,NA,26980.1,17998.1,5174.3,3836.1,1338.3,3807.6,-12.7,3820.3,443904,352399,91505,609,90896,60779,51073,42029,
Alaska,2011,NA,37580.6,NA,25735.1,5538.5,809,266.5,4463,6307,1788.1,3354.4,2639.3,715.1,1164.5,709.1,455.4,722259,NA,52032,35631,7668,1120,369,6179,8732,2476,4644,1612,NA,28475,18772.3,5696.1,4251.7,1444.4,4006.5,-12.7,4019.2,450364,358363,92001,631,91370,63227,52383,43988,
Alaska,2012,NA,38822.6,NA,26752.6,5402.3,838,232.6,4331.7,6667.8,1943.4,3456.1,2709.7,746.4,1268.3,773.3,495,730825,NA,53122,36606,7392,1147,318,5927,9124,2659,4729,1735,NA,29655.7,19588.2,6147.1,4595.9,1551.3,3920.3,-9.2,3929.5,459222,364972,94250,645,93605,64578,53670,41980,
Alaska,2013,NA,38502.5,NA,26546.7,5413.5,842,197.8,4373.6,6542.4,1874.6,3318.1,2683.7,634.4,1349.7,845.1,504.6,736760,NA,52259,36032,7348,1143,269,5936,8880,2544,4504,1832,NA,29872.7,19949.1,6409.2,4804.3,1604.9,3514.4,-10.5,3524.9,461110,365773,95337,651,94686,64784,54540,37227,
Alaska,2014,NA,40935.2,NA,27384.6,6529.1,890.3,115.8,5523,7021.5,2193.4,3410.1,2733.9,676.2,1417.9,846.8,571.1,736759,NA,55561,37169,8862,1208,157,7496,9530,2977,4629,1925,NA,30728,20625.6,6635,5063.2,1571.8,3467.3,-9.3,3476.6,461396,366038,95358,651,94707,66598,56348,36709,
Alaska,2015,NA,42291,NA,28189.5,6676.8,827,94.9,5754.8,7424.6,2338.4,3535.5,2813.6,721.8,1550.7,913,637.7,737979,NA,57306,38198,9047,1121,129,7798,10061,3169,4791,2101,NA,31574.8,21213.3,6754.1,5179,1575,3607.4,-7.9,3615.2,461471,367546,93925,653,93272,68422,57716,38760,
Alaska,2016,NA,41461.4,NA,27256,6650.2,844.6,109.3,5696.2,7555.2,2403.4,3519.1,2785.9,733.2,1632.7,978.6,654.1,741522,NA,55914,36757,8968,1139,147,7682,10189,3241,4746,2202,NA,30515.7,20475.1,6663.8,5151.4,1512.4,3376.8,-5.9,3382.8,457066,361040,96026,653,95373,66764,56711,35469,
Alaska,2017,NA,42300.9,NA,27503.7,6958.2,871.8,91.4,5994.9,7839.1,2470.1,3666.9,2855.7,811.2,1702,1052.7,649.3,739795,NA,57179,37177,9406,1178,124,8103,10596,3339,4957,2301,NA,30780.6,20346.1,6790.8,5280.3,1510.6,3643.7,-13,3656.7,454094,356627,97467,653,96814,67785,57052,37770,
Arizona,1998,NA,117363.6,NA,76755.7,15130,1447.3,172.8,13509.9,25477.8,5726.5,17106.8,9737.9,7368.9,2644.6,1843,801.6,4883342,NA,24033,15718,3098,296,35,2767,5217,1173,3503,542,NA,86135.8,64289.2,12947.6,8191.5,4756.1,8899.1,538.5,8360.6,2616288,2178443,437845,7432,430413,32923,29512,19425,
Arizona,1999,NA,124099.5,NA,82200.3,16115.6,1471.7,189.5,14454.3,25783.5,5448,17395.6,10172.8,7222.7,2939.9,2119.4,820.5,5023823,NA,24702,16362,3208,293,38,2877,5132,1084,3463,585,NA,92221.7,69372.5,13661,8605.1,5055.9,9188.2,513.4,8674.9,2695892,2254939,440953,7278,433675,34208,30765,20003,
Arizona,2000,NA,134952,NA,89896.1,17027.9,1514.4,188.5,15325,28028,6070.9,18848.1,10892.7,7955.4,3109,2280.7,828.3,5160586,NA,26151,17420,3300,293,37,2970,5431,1176,3652,602,NA,100790.2,76583.3,14739.2,9226.9,5512.3,9467.7,438.7,9029,2801510,2332044,469466,7295,462171,35977,32840,19536,
Arizona,2001,NA,140805.6,NA,93636.6,19312.7,1604.6,297.3,17410.7,27856.3,5871.2,18486.6,10662.9,7823.8,3498.4,2597.5,900.9,5273477,NA,26701,17756,3662,304,56,3302,5282,1113,3506,663,NA,104945,79484.2,15988.2,10193.9,5794.3,9472.5,373.1,9099.4,2829002,2352082,476920,10086,466834,37096,33793,19492,
Arizona,2002,NA,145930.3,NA,96882.2,21513.6,1925.8,503.9,19083.9,27534.5,6431.2,17381.3,10813.3,6568,3722,2886.5,835.5,5396255,NA,27043,17954,3987,357,93,3537,5103,1192,3221,690,NA,108532.1,81178.2,16860.9,10874.3,5986.6,10493.1,342,10151,2847095,2356072,491023,7356,483667,38120,34455,20988,
Arizona,2003,NA,154810.7,NA,102267.3,23475.1,2177.9,511.7,20785.5,29068.3,6988.1,18021.8,11412.6,6609.3,4058.4,3227.7,830.7,5510364,NA,28094,18559,4260,395,93,3772,5275,1268,3271,737,NA,114295.1,85001.2,17674,11489.5,6184.5,11619.9,351.3,11268.5,2917121,2393694,523427,9727,513700,39181,35510,21936,
Arizona,2004,NA,169309.9,NA,112030.5,25775.1,2376.7,358.8,23039.6,31504.3,9601.7,17398.7,11796.9,5601.9,4503.9,3625.3,878.6,5652404,NA,29954,19820,4560,420,63,4076,5574,1699,3078,797,NA,124975.8,92157.4,18963,12288.4,6674.6,13855.3,626.7,13228.7,3041476,2479989,561487,9541,551946,41091,37160,23967,
Arizona,2005,NA,188149,NA,123338.9,28487.2,2629.6,293.7,25563.9,36322.9,10599.4,21090.7,12919.2,8171.5,4632.8,3672.5,960.3,5839077,NA,32222,21123,4879,450,50,4378,6221,1815,3612,793,NA,137528.8,101120.4,20640,13376.7,7263.3,15768.4,546.6,15221.8,3219820,2610087,609733,9557,600176,42713,38742,25362,
Arizona,2006,NA,209009.7,NA,136945.9,31132.1,2722.7,252.2,28157.3,40931.7,13324.8,23353.6,13693.2,9660.4,4253.3,3217.3,1036,6029141,NA,34667,22714,5164,452,42,4670,6789,2210,3873,705,NA,152576.3,111470.4,23073.3,15134.5,7938.9,18032.5,293.5,17739,3375218,2738783,636435,9446,626989,45205,40701,28292,
Arizona,2007,NA,220652.4,NA,142747,33784,2942,312.1,30529.9,44121.5,14859.4,25698.3,14607.4,11090.9,3563.7,2313,1250.7,6167681,NA,35776,23144,5478,477,51,4950,7154,2409,4167,578,NA,159264.7,117290.4,25287.2,16826.9,8460.3,16687.1,358.5,16328.6,3465075,2773088,691987,15029,676958,45963,42296,24121,
Arizona,2008,NA,223221.9,NA,140166.9,39360.2,3307.2,564.2,35488.8,43694.8,13061.5,25591.8,15255.6,10336.1,5041.5,3453.2,1588.3,6280362,NA,35543,22318,6267,527,90,5651,6957,2080,4075,803,NA,156856.4,117223.9,26642.4,18064,8578.4,12990.1,164.5,12825.6,3402808,2706550,696258,15640,680618,46096,43311,18844,
Arizona,2009,NA,211397.7,NA,129713.5,44010.5,4223.9,1627.1,38159.4,37673.8,8604.8,22639.7,14679.4,7960.2,6429.3,4794.9,1634.4,6343154,NA,33327,20449,6938,666,257,6016,5939,1357,3569,1014,NA,145557.3,109645.5,25469.3,17398.6,8070.7,10442.6,-23.8,10466.3,3228493,2515005,713488,16253,697235,45085,43597,15011,
Arizona,2010,NA,215012.4,NA,130278.7,47885.7,4646.3,1901.1,41338.3,36848,8703.7,20871.7,14093.6,6778.2,7272.5,5374.7,1897.8,6407002,NA,33559,20334,7474,725,297,6452,5751,1358,3258,1135,NA,146275.2,109158.5,25432.9,17335.3,8097.6,11683.9,216.8,11467,3181571,2473095,708476,17192,691284,45976,44138,16588,
Arizona,2011,NA,225853.2,NA,137561.4,47822.9,4893.1,1325.1,41604.7,40468.9,10917.3,21150.6,14266.1,6884.6,8400.9,6059.6,2341.2,6465488,NA,34932,21276,7397,757,205,6435,6259,1689,3271,1299,NA,152291.7,113496.9,26159.8,17757.4,8402.4,12635,718.7,11916.3,3239045,2499245,739800,18184,721616,47017,45412,16513,
Arizona,2012,NA,236455.6,NA,144295.8,47852.1,5002.7,931.6,41917.8,44307.6,12993.9,22345.8,14635.2,7710.5,8968,6526,2442,6544211,NA,36132,22049,7312,764,142,6405,6771,1986,3415,1370,NA,159469.6,118948.3,26308.6,17603.6,8705,14212.7,363.1,13849.5,3295537,2558410,737127,18959,718168,48390,46493,19285,
Arizona,2013,NA,242571.9,NA,148878.8,49536.8,5025.2,591.8,43919.8,44156.3,12498.8,21568,14636,6932,10089.5,7550.4,2539.1,6616124,NA,36664,22502,7487,760,89,6638,6674,1889,3260,1525,NA,166847.3,122598.8,27825.9,18830.3,8995.7,16422.6,701.7,15720.8,3371219,2617500,753719,18748,734971,49492,46838,21390,
Arizona,2014,NA,257067,NA,155426.2,52643.9,4987,393.2,47263.7,48996.9,15220.8,22733.2,15283.1,7450,11043,8156,2887,6706435,NA,38331,23176,7850,744,59,7048,7306,2270,3390,1647,NA,173963.7,127740.7,28867.3,19691.1,9176.2,17355.7,502.4,16853.3,3448834,2669755,779079,18758,760321,50441,47847,22166,
Arizona,2015,NA,270806.7,NA,162646.5,54927,4925.9,351.2,49649.9,53233.2,16765,24453.2,16268.2,8185,12015,8945.3,3069.7,6802262,NA,39811,23911,8075,724,52,7299,7826,2465,3595,1766,NA,182165.5,134028.8,29556.8,19916,9640.9,18579.9,884,17696,3548679,2745697,802982,18688,784294,51333,48814,22563,
Arizona,2016,NA,280988.1,NA,169713.1,56404.6,4893.2,335,51176.3,54870.4,17464.4,24264.1,15930.9,8333.2,13141.9,9849.4,3292.5,6908642,NA,40672,24565,8164,708,48,7408,7942,2528,3512,1902,NA,190107.2,139243.5,31029.9,21026.2,10003.7,19833.8,967,18866.8,3646813,2816903,829910,18762,811148,52130,49431,23259,
Arizona,2017,NA,296648.9,NA,180301.7,58882.1,4780.1,308.7,53793.3,57465.1,18038.6,25566.2,16384.3,9181.9,13860.3,10593.6,3266.7,7016270,NA,42280,25698,8392,681,44,7667,8190,2571,3644,1975,NA,202015.5,147391.5,32486,21926.1,10559.9,22138,1310.5,20827.6,3727687,2881141,846546,18757,827789,54193,51157,25160,
Arkansas,1998,NA,55917.1,NA,35369.7,9818.3,1071.4,199.3,8547.5,10729.2,2351.9,7376.7,4416.8,2959.9,1000.6,594.9,405.7,2626289,NA,21291,13468,3738,408,76,3255,4085,896,2809,381,NA,40410,28569.2,6417.9,4098.2,2319.6,5422.9,1330.7,4092.2,1445536,1175697,269839,50982,218857,27955,24300,18698,
Arkansas,1999,NA,58129.5,NA,37371.6,10121.2,1090.9,192.7,8837.7,10636.7,2303.4,7271.6,4479.6,2792,1061.7,668.8,392.9,2651860,NA,21920,14093,3817,411,73,3333,4011,869,2742,400,NA,42655.4,30163,6667.3,4252.2,2415.1,5825.1,1534.5,4290.5,1460374,1194966,265408,49793,215615,29209,25242,19899,
Arkansas,2000,NA,61136.6,NA,39153.4,10741.4,1123.4,208.9,9409.1,11241.8,2268,7846.5,4677.8,3168.7,1127.4,734.8,392.6,2678588,NA,22824,14617,4010,419,78,3513,4197,847,2929,421,NA,44708.9,31830.5,6983.3,4448.9,2534.4,5895.1,1434.1,4461,1482449,1210817,271632,49482,222150,30159,26288,20081,
Arkansas,2001,NA,64374.9,NA,41054.1,11910,1137.2,310.8,10462,11410.8,2130.8,7952.5,4685.5,3267.1,1327.5,916.8,410.7,2691571,NA,23917,15253,4425,423,115,3887,4239,792,2955,493,NA,46778.2,32970.6,7449.9,4866.8,2583.1,6357.7,1718.7,4639,1482587,1207983,274604,49368,225236,31552,27294,20596,
Arkansas,2002,NA,65878.2,NA,41940.3,12825.4,1262.1,404.1,11159.2,11112.5,2417.3,7297.7,4687.9,2609.8,1397.4,1017.2,380.3,2705927,NA,24346,15499,4740,466,149,4124,4107,893,2697,516,NA,47829.8,33873.4,7818.1,5178.3,2639.8,6138.4,987.8,5150.5,1478929,1203333,275596,45977,229619,32341,28150,22431,
Arkansas,2003,NA,69722,NA,44948.7,13390.8,1381.6,406.2,11603,11382.4,2723.9,7150.3,4764.3,2386,1508.2,1114,394.2,2724816,NA,25588,16496,4914,507,149,4258,4177,1000,2624,554,NA,51019.3,35118.6,8399.4,5652.4,2746.9,7501.3,2122,5379.3,1482035,1202294,279741,44406,235335,34425,29210,22858,
Arkansas,2004,NA,74158.9,NA,47960.5,14350,1492.1,295.8,12562.1,11848.4,3697.1,6683.1,4836.3,1846.8,1468.2,1064.5,403.7,2749686,NA,26970,17442,5219,543,108,4569,4309,1345,2430,534,NA,54284.8,37224,8874,5997.8,2876.2,8186.7,2461.9,5724.8,1505095,1215751,289344,43420,245924,36067,30618,23279,
Arkansas,2005,NA,78138.5,NA,49491.5,15395.3,1637.5,271.7,13486.1,13251.7,4047.3,7763,5134.5,2628.5,1441.4,988.1,453.3,2781097,NA,28096,17796,5536,589,98,4849,4765,1455,2791,518,NA,56136.2,39076.6,9438.4,6430.2,3008.2,7621.3,1615.8,6005.5,1537680,1232788,304892,42861,262031,36507,31698,22919,
Arkansas,2006,NA,83020.8,NA,51270.3,16810,1698,280.2,14831.8,14940.6,5238.5,8439,5278.5,3160.5,1263.1,780.5,482.6,2821761,NA,29422,18170,5957,602,99,5256,5295,1856,2991,448,NA,58335.6,41363,9742.1,6549.3,3192.7,7230.5,1258,5972.5,1567682,1257506,310176,41518,268658,37211,32893,22231,
Arkansas,2007,NA,88484.9,NA,53330.1,18176.2,1797.7,328.8,16049.8,16978.5,6231.6,9637,5696.4,3940.6,1109.9,600.2,509.7,2848650,NA,31062,18721,6381,631,115,5634,5960,2188,3383,390,NA,60613.1,43531.6,10102.8,6799.1,3303.7,6978.8,1628.8,5350,1582858,1259279,323579,43650,279929,38293,34569,19112,
Arkansas,2008,NA,91798.2,NA,53254.3,20266.7,1873.2,462,17931.4,18277.2,6451.9,10307.6,6174.8,4132.8,1517.7,848.7,669.1,2874554,NA,31935,18526,7050,652,161,6238,6358,2244,3586,528,NA,60786.5,44463.8,10318.5,6886.6,3431.9,6004.2,1293.9,4710.3,1579283,1259243,320040,43259,276781,38490,35310,17018,
Arkansas,2009,NA,90242.5,NA,51862.8,21996.6,2234.1,1054.8,18707.7,16383,4394.6,10055.3,6427,3628.4,1933.1,1266.8,666.3,2896843,NA,31152,17903,7593,771,364,6458,5655,1517,3471,667,NA,59375.5,44017.7,10260.9,6827.4,3433.5,5096.9,668.7,4428.2,1542944,1221329,321615,42629,278986,38482,36041,15873,
Arkansas,2010,NA,93103.2,NA,53443.1,23612.4,2469.8,940.4,20202.2,16047.7,4394.9,9248.3,6190.2,3058.1,2404.5,1604.2,800.3,2921737,NA,31866,18292,8082,845,322,6914,5493,1504,3165,823,NA,61175.4,44757.8,10504.3,6936.3,3568,5913.3,381.5,5531.8,1541272,1219912,321360,42259,279101,39691,36689,19820,
Arkansas,2011,NA,99328.7,NA,56322.3,24087.3,2532.4,705.5,20849.4,18919.1,6236.2,9722.6,6407.8,3314.9,2960.2,1995.1,965.2,2938640,NA,33801,19166,8197,862,240,7095,6438,2122,3309,1007,NA,63550.7,46289.4,10607.8,6875.4,3732.3,6653.5,458.6,6195,1561948,1223928,338020,41670,296350,40687,37820,20904,
