"es.meanATE","ks.meanATE"
4.6125844533533,4.62047170936699
4.6125844533533,4.62047170936699
4.62501856772189,4.63873826177518
4.72487638334351,4.73561908030001
3.86864572918003,3.87675119562285
3.82815882484134,3.8361498940126
4.11772260998148,4.12406491167435
4.18937089371883,4.19872912448462
4.22500012787254,4.23446290169912
4.67430976596402,4.68509090112851
4.29256471534167,4.29926269376385
4.23069429871999,4.22434915484441
3.74376023296843,3.80204043546858
3.37634094456312,3.4208025792656
3.40766372303788,3.45271141082234
3.4669114811745,3.52313545499308
4.34723679885734,4.42659912059023
4.4633913435733,4.54550766656227
2.85212678552329,2.85212678552329
3.22142573095388,3.22142573095388
3.35138664437704,3.35138664437704
3.42823220735661,3.42823220735661
3.45848269554436,3.45848269554436
3.55248743138691,3.55248743138691
3.29885045096899,3.29885045096899
3.4008948395207,3.4008948395207
3.67381242999988,3.67381242999988
3.62174271229188,3.62174271229188
3.50033978923399,3.50033978923399
3.54946679261983,3.54946679261983
3.47383009619965,3.47383009619965
3.80580837309885,3.80580837309885
3.60642914349235,3.60642914349235
3.407775791367,3.407775791367
3.12171354769939,3.12171354769939
2.87385284626866,2.87385284626866
2.85212678552329,2.85212678552329
3.22142573095388,3.22142573095388
2.90477452918664,2.90515746187799
2.47285060845496,2.4673463779735
2.49034389148785,2.4882867571546
2.87711935045231,2.87033831310444
2.84213132735026,2.8388108085042
2.89314920632813,2.88973672561913
2.77505583497099,2.77185622250833
3.00259164956391,2.99921205563126
3.08663439725008,3.07954923300356
6.07793979646648,6.08537430701695
5.49223055299368,5.49880753830269
5.13516953083822,5.14169552615969
5.68207016631268,5.68504354876794
5.7754869678121,5.77851967528146
6.46615245015757,6.46962376972686
5.6065024548514,5.60942784748603
2.85212678552329,2.85212678552329
3.22142573095388,3.22142573095388
3.35138664437704,3.35138664437704
3.42823220735661,3.42823220735661
3.45848269554436,3.45848269554436
3.55248743138691,3.55248743138691
3.29885045096899,3.29885045096899
3.4008948395207,3.4008948395207
3.67381242999988,3.67381242999988
3.00259164956391,2.99921205563126
3.08663439725008,3.07954923300356
3.21645219987106,3.2092672725672
2.95665130035215,2.93702463408256
3.5699356018334,3.5672561455136
3.54459385358396,3.53108172940235
3.48717713505222,3.4681135759223
3.35036404525925,3.34636319289231
3.41496855323143,3.40908332312015
2.85212678552329,2.85212678552329
3.22142573095388,3.22142573095388
3.35138664437704,3.35138664437704
3.42823220735661,3.42823220735661
3.45848269554436,3.45848269554436
3.55248743138691,3.55248743138691
3.29885045096899,3.29885045096899
3.4008948395207,3.4008948395207
3.67381242999988,3.67381242999988
3.62174271229188,3.62174271229188
3.50033978923399,3.50033978923399
3.54946679261983,3.54946679261983
3.47383009619965,3.47383009619965
3.80580837309885,3.80580837309885
3.60642914349235,3.60642914349235
3.407775791367,3.407775791367
3.12171354769939,3.12171354769939
2.87385284626866,2.87385284626866
11.8661171073673,11.8451714092052
2.76173509494578,2.76208927122807
9.64687607644814,9.60669262458579
2.47285060845496,2.4673463779735
2.49034389148785,2.4882867571546
2.87711935045231,2.87033831310444
9.56667681543741,9.57144801481029
8.52770925605042,8.52523741254442
9.1510129281085,9.15478890231399
