"","term","estimate","std.error","statistic","p.value"
"1","Job.Creation.Tax.Credit",-34188.6876918254,12290.9503799306,-2.78161465427854,0.00541384577693523
"2","Investment.Tax.Credit",-124127.600106939,14902.2612737065,-8.32944731186197,8.62470356587552e-17
"3","Research.and.Development.Credit",295035.834567162,44294.5648820815,6.66076832118319,2.79283338971859e-11
"4","Property.Tax.Abatement",71856.4575205118,7707.98948542907,9.32233465761039,1.24979333678892e-20
"5","Customized.Job.Training.Subsidy",282647.240463607,45963.4617885757,6.14938974274257,7.92155512108948e-10
