SAGDP4N Compensation of employees 1/,,,,,,,,
(Thousands of dollars) ,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,
State or DC,,,,,,,,
GeoFips,GeoName,LineCode,Description,2003,2004,2005,2006,2007
1000,Alabama,77,"        Performing arts, spectator sports, museums, and related activities",89774,103912,112470,125460,126302
1000,Alabama,78,"        Amusement, gambling, and recreation industries",226886,236635,246293,258777,274126
1000,Alabama,79,      Accommodation and food services,2071277,2183413,2293312,2395812,2537431
1000,Alabama,80,        Accommodation,266444,286003,305652,311491,326347
1000,Alabama,81,        Food services and drinking places,1804833,1897410,1987660,2084320,2211084
1000,Alabama,82,    Other services (except government and government enterprises),2629526,2751589,2847450,2939580,3091914
1000,Alabama,83,  Government and government enterprises,17834411,18736137,19668974,20472897,21865691
1000,Alabama,84,    Federal civilian,3796218,4006786,4290961,4476977,4760523
1000,Alabama,85,    Military,1567681,1730894,1836016,1812107,1858022
1000,Alabama,86,    State and local,12470512,12998457,13541997,14183813,15247146
1000,Alabama,,Addenda:,,,,,
1000,Alabama,87,Natural resources and mining,890593,994121,1027329,1122182,1168359
1000,Alabama,88,Trade,9742378,10277280,10926049,11397638,11832939
1000,Alabama,89,Transportation and utilities,3574124,3793962,3950661,4178688,4374540
1000,Alabama,90,Private goods-producing industries 2/,18735650,19724313,20860374,22079069,22767315
1000,Alabama,91,Private services-providing industries 3/,40514867,43128458,45827427,48595982,50653426
2000,Alaska,1,All industry total,16521980,17454296,18584746,19600295,20790156
2000,Alaska,2,  Private industries,10435898,11094940,11841575,12529584,13425933
2000,Alaska,3,"    Agriculture, forestry, fishing, and hunting",45153,43191,43740,41558,37136
2000,Alaska,4,      Farms,6051,6362,6097,6268,6423
2000,Alaska,5,"      Forestry, fishing, and related activities",39102,36830,37643,35290,30713
2000,Alaska,6,"    Mining, quarrying, and oil and gas extraction",1016571,1086133,1201941,1474085,1731561
2000,Alaska,7,      Oil and gas extraction,401004,432959,464801,516404,609375
2000,Alaska,8,      Mining (except oil and gas),121600,120479,141776,179076,205329
2000,Alaska,9,      Support activities for mining,493967,532695,595365,778605,916857
2000,Alaska,10,    Utilities,153629,159769,165750,173069,179790
2000,Alaska,11,    Construction,1158251,1221993,1341626,1348395,1402508
2000,Alaska,12,    Manufacturing,548787,576397,633447,663105,696508
2000,Alaska,13,      Durable goods manufacturing,91927,98313,111118,115902,132401
2000,Alaska,14,        Wood product manufacturing,10670,13009,13972,(D),21312
2000,Alaska,15,        Nonmetallic mineral product manufacturing,27685,26042,28396,(D),25134
2000,Alaska,16,        Primary metal manufacturing,(D),(D),(D),(D),(D)
2000,Alaska,17,        Fabricated metal product manufacturing,20662,22556,24776,26404,(D)
2000,Alaska,18,        Machinery manufacturing,3254,2363,3100,3606,4010
2000,Alaska,19,        Computer and electronic product manufacturing,(D),(D),6082,7083,8368
2000,Alaska,20,"        Electrical equipment, appliance, and component manufacturing",803,1376,1530,2405,2742
2000,Alaska,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",(D),882,(D),(D),(D)
2000,Alaska,22,        Other transportation equipment manufacturing,(D),12192,15092,13961,21798
2000,Alaska,23,        Furniture and related product manufacturing,4463,5316,6281,6896,6706
2000,Alaska,24,        Miscellaneous manufacturing,8643,9292,10060,10365,11067
2000,Alaska,25,      Nondurable goods manufacturing,456860,478084,522329,547203,564107
2000,Alaska,26,        Food and beverage and tobacco products manufacturing,353906,375443,413413,428152,449940
2000,Alaska,27,        Textile mills and textile product mills,1755,(D),(D),(D),(D)
2000,Alaska,28,"        Apparel, leather, and allied product manufacturing",(D),(D),(D),404,(D)
2000,Alaska,29,        Paper manufacturing,(D),(D),0,(D),(D)
2000,Alaska,30,        Printing and related support activities,17786,17037,16994,17543,17731
2000,Alaska,31,        Petroleum and coal products manufacturing,47559,50102,53659,65817,62190
2000,Alaska,32,        Chemical manufacturing,(D),(D),29094,25128,23225
2000,Alaska,33,        Plastics and rubber products manufacturing,(D),(D),(D),(D),(D)
2000,Alaska,34,    Wholesale trade,325302,347912,373066,387423,408736
2000,Alaska,35,    Retail trade,1150532,1202283,1266695,1287009,1329386
2000,Alaska,36,    Transportation and warehousing,1167514,1241815,1268893,1306553,1420687
2000,Alaska,37,      Air transportation,451982,484263,467422,457549,489826
2000,Alaska,38,      Rail transportation,0,0,0,0,0
2000,Alaska,39,      Water transportation,57460,62612,(D),72475,77398
2000,Alaska,40,      Truck transportation,156088,166383,183661,195792,208915
2000,Alaska,41,      Transit and ground passenger transportation,40039,42596,42578,45403,46923
2000,Alaska,42,      Pipeline transportation,(D),(D),(D),(D),(D)
2000,Alaska,43,      Other transportation and support activities,(D),(D),361972,(D),(D)
2000,Alaska,44,      Warehousing and storage,18367,20164,23684,20644,23266
2000,Alaska,45,    Information,424326,441763,457355,462875,484622
2000,Alaska,46,      Publishing industries (except Internet),57558,(D),61085,62107,63916
2000,Alaska,47,      Motion picture and sound recording industries,8422,8328,7689,7578,8110
2000,Alaska,48,      Broadcasting (except Internet) and telecommunications,344680,362044,376534,378228,401734
2000,Alaska,49,"      Data processing, hosting, and other information services",13666,(D),12047,14963,10862
2000,Alaska,50,"    Finance, insurance, real estate, rental, and leasing",604084,627331,687055,702675,729644
2000,Alaska,51,      Finance and insurance,427477,435732,481158,494382,516193
2000,Alaska,52,"        Monetary Authorities- central bank, credit intermediation, and related services",246334,247677,273753,279200,290661
2000,Alaska,53,"        Securities, commodity contracts, and other financial investments and related activities",41573,44198,(D),59200,66902
2000,Alaska,54,        Insurance carriers and related activities,131478,137318,146671,150213,153012
2000,Alaska,55,"        Funds, trusts, and other financial vehicles",8092,6539,(D),5768,5617
2000,Alaska,56,      Real estate and rental and leasing,176607,191599,205897,208293,213451
2000,Alaska,57,        Real estate,121429,133735,142515,142237,141855
2000,Alaska,58,        Rental and leasing services and lessors of nonfinancial intangible assets,55178,57864,63382,66056,71596
2000,Alaska,59,    Professional and business services,1197470,1271357,1402774,1541681,1693424
2000,Alaska,60,"      Professional, scientific, and technical services",643726,683801,767269,826575,921509
2000,Alaska,61,        Legal services,91127,91034,96594,96923,100589
2000,Alaska,62,        Computer systems design and related services,62228,69010,76775,77347,80932
2000,Alaska,63,"        Miscellaneous professional, scientific, and technical services",490370,523756,593900,652304,739988
2000,Alaska,64,      Management of companies and enterprises,155644,170173,172123,223581,238604
2000,Alaska,65,      Administrative and support and waste management and remediation services,398100,417384,463382,491526,533311
2000,Alaska,66,        Administrative and support services,331464,353026,382912,413281,444811
2000,Alaska,67,        Waste management and remediation services,66636,64358,80470,78245,88500
2000,Alaska,68,"    Educational services, health care, and social assistance",1522221,1683419,1775343,1869311,1969063
2000,Alaska,69,      Educational services,96771,98812,101038,106013,108044
2000,Alaska,70,      Health care and social assistance,1425450,1584607,1674305,1763298,1861019
2000,Alaska,71,        Ambulatory health care services,628538,709847,750223,791387,823287
2000,Alaska,72,        Hospitals,479528,515141,549552,597249,668570
2000,Alaska,73,        Nursing and residential care facilities,85970,92310,96561,95395,95582
2000,Alaska,74,        Social assistance,231414,267309,277969,279267,273580
2000,Alaska,75,"    Arts, entertainment, recreation, accommodation, and food services",690223,743623,775238,806687,851640
2000,Alaska,76,"      Arts, entertainment, and recreation",85369,91764,98141,100936,110054
2000,Alaska,77,"        Performing arts, spectator sports, museums, and related activities",25065,25232,27303,28923,32966
2000,Alaska,78,"        Amusement, gambling, and recreation industries",60304,66532,70838,72013,77088
2000,Alaska,79,      Accommodation and food services,604854,651859,677097,705750,741585
2000,Alaska,80,        Accommodation,215027,238250,244366,258806,271820
2000,Alaska,81,        Food services and drinking places,389827,413608,432731,446944,469765
2000,Alaska,82,    Other services (except government and government enterprises),431835,447954,448651,465160,491228
2000,Alaska,83,  Government and government enterprises,6086082,6359356,6743171,7070711,7364222
2000,Alaska,84,    Federal civilian,1264929,1355865,1396884,1413406,1502763
2000,Alaska,85,    Military,1221145,1328020,1487560,1718872,1787592
2000,Alaska,86,    State and local,3600008,3675471,3858727,3938433,4073867
2000,Alaska,,Addenda:,,,,,
2000,Alaska,87,Natural resources and mining,1061724,1129324,1245682,1515643,1768697
2000,Alaska,88,Trade,1475834,1550194,1639760,1674432,1738122
2000,Alaska,89,Transportation and utilities,1321144,1401584,1434643,1479622,1600477
2000,Alaska,90,Private goods-producing industries 2/,2768762,2927714,3220755,3527142,3867712
2000,Alaska,91,Private services-providing industries 3/,7667136,8167226,8620820,9002442,9558221
4000,Arizona,1,All industry total,102681350,111133558,121777802,134607348,142619024
4000,Arizona,2,  Private industries,82025669,89243605,98392076,109568237,115674138
4000,Arizona,3,"    Agriculture, forestry, fishing, and hunting",614109,677197,709757,791101,869181
4000,Arizona,4,      Farms,372595,397455,439539,420234,492824
4000,Arizona,5,"      Forestry, fishing, and related activities",241515,279742,270218,370867,376357
4000,Arizona,6,"    Mining, quarrying, and oil and gas extraction",478848,531256,571977,703333,866018
4000,Arizona,7,      Oil and gas extraction,(D),(D),231,220,509
4000,Arizona,8,      Mining (except oil and gas),469196,521305,558954,682293,841043
4000,Arizona,9,      Support activities for mining,(D),(D),12793,20821,24466
4000,Arizona,10,    Utilities,1008384,1037533,1145652,1313676,1445631
4000,Arizona,11,    Construction,7663387,8594667,10296971,11979828,11735920
4000,Arizona,12,    Manufacturing,11140018,11728801,12060494,13074787,13367394
4000,Arizona,13,      Durable goods manufacturing,9575876,10144402,10435441,11350514,11626271
4000,Arizona,14,        Wood product manufacturing,269029,320646,390583,403394,326150
4000,Arizona,15,        Nonmetallic mineral product manufacturing,399704,438130,529514,589046,600075
4000,Arizona,16,        Primary metal manufacturing,219977,223432,243126,275294,279176
4000,Arizona,17,        Fabricated metal product manufacturing,802866,872102,929219,1023266,1147399
4000,Arizona,18,        Machinery manufacturing,426416,450619,430932,462814,499349
4000,Arizona,19,        Computer and electronic product manufacturing,4007734,4175322,4101384,4564872,4412854
4000,Arizona,20,"        Electrical equipment, appliance, and component manufacturing",120516,119194,130440,158369,203629
4000,Arizona,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D)
4000,Arizona,22,        Other transportation equipment manufacturing,(D),(D),(D),(D),(D)
4000,Arizona,23,        Furniture and related product manufacturing,294676,333363,351723,382853,382576
4000,Arizona,24,        Miscellaneous manufacturing,462406,456727,516058,556704,585522
4000,Arizona,25,      Nondurable goods manufacturing,1564141,1584399,1625053,1724272,1741123
4000,Arizona,26,        Food and beverage and tobacco products manufacturing,541116,553602,566090,595066,577110
4000,Arizona,27,        Textile mills and textile product mills,70176,78874,65756,75447,103687
4000,Arizona,28,"        Apparel, leather, and allied product manufacturing",35733,26122,21884,20871,22739
4000,Arizona,29,        Paper manufacturing,145342,167110,172132,161438,162980
4000,Arizona,30,        Printing and related support activities,280801,289857,302923,326689,329020
4000,Arizona,31,        Petroleum and coal products manufacturing,10379,16610,16856,18837,17821
4000,Arizona,32,        Chemical manufacturing,211703,227114,257344,296502,323875
4000,Arizona,33,        Plastics and rubber products manufacturing,268892,225111,222067,229422,203892
4000,Arizona,34,    Wholesale trade,5462807,6007782,6515918,7184438,7968366
4000,Arizona,35,    Retail trade,8596654,9245550,10238580,11168227,11642125
4000,Arizona,36,    Transportation and warehousing,3246090,3541708,3752809,4121867,4396377
4000,Arizona,37,      Air transportation,970370,1076300,1104801,1283561,1340625
4000,Arizona,38,      Rail transportation,226756,249730,(D),271362,(D)
4000,Arizona,39,      Water transportation,(D),(D),(D),(D),(D)
4000,Arizona,40,      Truck transportation,845934,901675,991641,1073281,1147958
4000,Arizona,41,      Transit and ground passenger transportation,183844,191777,218771,256147,268598
4000,Arizona,42,      Pipeline transportation,22203,23797,23035,23124,24897
4000,Arizona,43,      Other transportation and support activities,(D),(D),804019,(D),950847
4000,Arizona,44,      Warehousing and storage,324149,347457,345405,355150,376758
4000,Arizona,45,    Information,2755663,2781615,2729031,2863540,2849317
4000,Arizona,46,      Publishing industries (except Internet),734135,749299,781920,825311,871833
4000,Arizona,47,      Motion picture and sound recording industries,88077,97095,99371,105954,120661
4000,Arizona,48,      Broadcasting (except Internet) and telecommunications,1453335,1454686,1375107,1403775,1539241
4000,Arizona,49,"      Data processing, hosting, and other information services",480116,480536,472633,528500,317582
4000,Arizona,50,"    Finance, insurance, real estate, rental, and leasing",8923172,9626111,11159414,12245823,12476366
4000,Arizona,51,      Finance and insurance,7184225,7648441,8824997,9615736,9785342
4000,Arizona,52,"        Monetary Authorities- central bank, credit intermediation, and related services",(D),(D),5136539,5641095,5619004
4000,Arizona,53,"        Securities, commodity contracts, and other financial investments and related activities",886951,964204,1045992,1222067,1418627
4000,Arizona,54,        Insurance carriers and related activities,2223894,2356030,2600960,2705029,2746308
