SAINC7N Wages and Salaries by NAICS Industry 1/,,,,,,,
(Thousands of dollars) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
State or DC,,,,,,,
GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013
1000,Alabama,1200,"      Professional, scientific, and technical services",6285169,6431542,6622034,6728288
1000,Alabama,1300,      Management of companies and enterprises,1155927,1256495,1363190,1330956
1000,Alabama,1400,      Administrative and support and waste management and remediation services,2617105,2720672,2883910,2911952
1000,Alabama,1401,        Administrative and support services,2329988,2448846,2619523,2659483
1000,Alabama,1402,        Waste management and remediation services,287117,271826,264387,252469
1000,Alabama,1500,      Educational services,679575,701917,725700,746412
1000,Alabama,1600,      Health care and social assistance,8217670,8391139,8698589,8853550
1000,Alabama,1601,        Ambulatory health care services,4642868,4742067,4952658,5049101
1000,Alabama,1602,        Hospitals,2065259,2136828,2208661,2235171
1000,Alabama,1603,        Nursing and residential care facilities,1038963,1052928,1062971,1082106
1000,Alabama,1604,        Social assistance,470580,459316,474299,487172
1000,Alabama,1700,"      Arts, entertainment, and recreation",319448,307678,318644,330438
1000,Alabama,1701,"        Performing arts, spectator sports, and related industries",73280,62949,66758,72452
1000,Alabama,1702,"        Museums, historical sites, and similar institutions",25243,24484,24522,25399
1000,Alabama,1703,"        Amusement, gambling, and recreation industries",220925,220245,227364,232587
1000,Alabama,1800,      Accommodation and food services,2310439,2400208,2550724,2668764
1000,Alabama,1801,        Accommodation,312888,320725,332771,348924
1000,Alabama,1802,        Food services and drinking places,1997551,2079483,2217953,2319840
1000,Alabama,1900,      Other services (except government and government enterprises),2808305,2861054,2931923,2982913
1000,Alabama,1901,        Repair and maintenance,718316,750906,764146,769433
1000,Alabama,1902,        Personal and laundry services,392384,400019,418011,429344
1000,Alabama,1903,"        Religious, grantmaking, civic, professional, and similar organizations",1552288,1554642,1623116,1649317
1000,Alabama,1904,        Private households,145317,155487,126650,134819
1000,Alabama,2000,    Government and government enterprises,17723988,17900487,17718454,17678373
1000,Alabama,2001,      Federal civilian,4132838,4331459,4212160,4069981
1000,Alabama,2002,      Military,1416881,1368417,1287003,1246064
1000,Alabama,2010,      State and local,12174269,12200611,12219291,12362328
