"ID","Area","ZCTA5CE00","CLASSFP00","MTFCC00","FUNCSTAT00"
151,43.444824,"23059","B5","G6350","S"
152,154.038818,"22546","B5","G6350","S"
153,72.501602,"23005","B5","G6350","S"
154,64.595184,"23069","B5","G6350","S"
155,108.854889,"23024","B5","G6350","S"
156,3.881278,"23416","B5","G6350","S"
157,36.559502,"23415","B5","G6350","S"
158,22.492540,"23336","B5","G6350","S"
159,2.266674,"23303","B5","G6350","S"
160,3.090090,"23407","B5","G6350","S"
161,37.248409,"23420","B5","G6350","S"
162,3.965450,"23356","B5","G6350","S"
163,172.571014,"233HH","B5","G6350","S"
164,10.636123,"23359","B5","G6350","S"
165,2.939964,"23440","B5","G6350","S"
166,5.790524,"23357","B5","G6350","S"
167,31.121252,"23410","B5","G6350","S"
168,5.771395,"23427","B5","G6350","S"
169,12.380556,"23337","B5","G6350","S"
170,80.304779,"24318","B5","G6350","S"
171,84.868256,"24314","B5","G6350","S"
172,37.206760,"24366","B5","G6350","S"
173,83.506401,"24124","B5","G6350","S"
174,201.738190,"24315","B5","G6350","S"
175,11.995154,"23845","B5","G6350","S"
176,21.982012,"23893","B5","G6350","S"
177,58.515308,"23856","B5","G6350","S"
178,37.268230,"238HH","B5","G6350","S"
179,28.379030,"23919","B5","G6350","S"
180,63.307873,"23950","B5","G6350","S"
181,124.499054,"23868","B5","G6350","S"
182,27.874350,"23843","B5","G6350","S"
183,68.573120,"23821","B5","G6350","S"
184,180.252869,"23824","B5","G6350","S"
185,31.565569,"23876","B5","G6350","S"
186,28.968092,"23889","B5","G6350","S"
187,18.659714,"23887","B5","G6350","S"
188,277.680817,"23847","B5","G6350","S"
189,18.071459,"23938","B5","G6350","S"
190,11.980929,"23857","B5","G6350","S"
191,128.566223,"23920","B5","G6350","S"
192,56.503368,"23959","B5","G6350","S"
193,145.785263,"23924","B5","G6350","S"
194,51.675644,"239HH","B5","G6350","S"
195,15.452694,"23962","B5","G6350","S"
196,141.848465,"23947","B5","G6350","S"
197,94.820694,"23958","B5","G6350","S"
198,43.290073,"23934","B5","G6350","S"
199,88.967125,"23923","B5","G6350","S"
200,52.054611,"23964","B5","G6350","S"
201,4.308312,"23976","B5","G6350","S"
202,60.630642,"23967","B5","G6350","S"
203,75.209145,"23937","B5","G6350","S"
204,249.588776,"24127","B5","G6350","S"
205,83.541138,"24128","B5","G6350","S"
206,35.063244,"24131","B5","G6350","S"
207,54.654026,"24070","B5","G6350","S"
208,28.474936,"22734","B5","G6350","S"
209,8.701933,"22741","B5","G6350","S"
210,52.448936,"20106","B5","G6350","S"
211,77.409286,"22740","B5","G6350","S"
212,23.111275,"22714","B5","G6350","S"
213,159.558411,"22701","B5","G6350","S"
214,48.959084,"22733","B5","G6350","S"
215,28.334372,"22718","B5","G6350","S"
216,39.525181,"22737","B5","G6350","S"
217,21.557652,"22726","B5","G6350","S"
218,21.101400,"22736","B5","G6350","S"
219,23.571825,"22724","B5","G6350","S"
220,38.949306,"22735","B5","G6350","S"
221,4.140480,"22729","B5","G6350","S"
222,61.843941,"20186","B5","G6350","S"
223,5.415611,"22746","B5","G6350","S"
224,22.877811,"22713","B5","G6350","S"
225,36.409153,"24226","B5","G6350","S"
226,16.905039,"24272","B5","G6350","S"
227,18.025789,"24220","B5","G6350","S"
228,129.320114,"24230","B5","G6350","S"
229,36.230156,"24237","B5","G6350","S"
230,68.215492,"24225","B5","G6350","S"
231,10.276976,"24607","B5","G6350","S"
232,49.023106,"24256","B5","G6350","S"
233,1.774617,"242HH","B5","G6350","S"
234,23.945242,"24283","B5","G6350","S"
235,2.960861,"24269","B5","G6350","S"
236,29.873249,"24217","B5","G6350","S"
237,94.588310,"24228","B5","G6350","S"
238,142.954712,"24333","B5","G6350","S"
239,33.128300,"24328","B5","G6350","S"
240,40.383057,"24312","B5","G6350","S"
241,88.033295,"24380","B5","G6350","S"
242,41.761787,"24317","B5","G6350","S"
243,9.060205,"243HH","B5","G6350","S"
244,48.446972,"24381","B5","G6350","S"
245,22.014776,"24105","B5","G6350","S"
246,45.663124,"24325","B5","G6350","S"
247,62.015846,"24120","B5","G6350","S"
248,40.980846,"24330","B5","G6350","S"
249,44.467941,"24350","B5","G6350","S"
250,80.263901,"24347","B5","G6350","S"
