ID,ZCTA5CE00,CLASSFP00,MTFCC00,FUNCSTAT00
3131,53960,B5,G6350,S
3132,53913,B5,G6350,S
3133,53969,B5,G6350,S
3134,53561,B5,G6350,S
3135,53935,B5,G6350,S
3136,53928,B5,G6350,S
3137,53955,B5,G6350,S
3138,53954,B5,G6350,S
3139,54520,B5,G6350,S
3140,54511,B5,G6350,S
3141,54104,B5,G6350,S
3142,54541,B5,G6350,S
3143,54465,B5,G6350,S
3144,54562,B5,G6350,S
3145,545XX,B5,G6350,S
3146,54521,B5,G6350,S
3147,54566,B5,G6350,S
3148,53923,B5,G6350,S
3149,53926,B5,G6350,S
3150,54867,B5,G6350,S
3151,54862,B5,G6350,S
3152,54843,B5,G6350,S
3153,54876,B5,G6350,S
3154,54828,B5,G6350,S
3155,54834,B5,G6350,S
3156,54896,B5,G6350,S
3157,75638,B5,G6350,S
3158,75636,B5,G6350,S
3159,75571,B5,G6350,S
3160,54154,B5,G6350,S
3161,54101,B5,G6350,S
3162,54149,B5,G6350,S
3163,54171,B5,G6350,S
3164,54111,B5,G6350,S
3165,54141,B5,G6350,S
3166,54137,B5,G6350,S
3167,54138,B5,G6350,S
3168,54139,B5,G6350,S
3169,53044,B5,G6350,S
3170,53083,B5,G6350,S
3171,53070,B5,G6350,S
3172,53085,B5,G6350,S
3173,53073,B5,G6350,S
3174,53001,B5,G6350,S
3175,53093,B5,G6350,S
3176,53081,B5,G6350,S
3177,54561,B5,G6350,S
3178,54554,B5,G6350,S
3179,54519,B5,G6350,S
3180,54475,B5,G6350,S
3181,54981,B5,G6350,S
3182,54481,B5,G6350,S
3183,54423,B5,G6350,S
3184,54407,B5,G6350,S
3185,54909,B5,G6350,S
3186,54467,B5,G6350,S
3187,54977,B5,G6350,S
3188,54406,B5,G6350,S
3189,54984,B5,G6350,S
3190,54945,B5,G6350,S
3191,54560,B5,G6350,S
3192,54512,B5,G6350,S
3193,54545,B5,G6350,S
3194,54540,B5,G6350,S
3195,54557,B5,G6350,S
3196,54761,B5,G6350,S
3197,54014,B5,G6350,S
3198,54750,B5,G6350,S
3199,54003,B5,G6350,S
3200,54021,B5,G6350,S
3201,54011,B5,G6350,S
3202,54723,B5,G6350,S
3203,54022,B5,G6350,S
3204,53809,B5,G6350,S
3205,53806,B5,G6350,S
3206,53804,B5,G6350,S
3207,53807,B5,G6350,S
3208,53816,B5,G6350,S
3209,53811,B5,G6350,S
3210,53817,B5,G6350,S
3211,53825,B5,G6350,S
3212,53827,B5,G6350,S
3213,53808,B5,G6350,S
3214,53810,B5,G6350,S
3215,53813,B5,G6350,S
3216,53820,B5,G6350,S
3217,53801,B5,G6350,S
3218,54216,B5,G6350,S
3219,53587,B5,G6350,S
3220,53541,B5,G6350,S
3221,53586,B5,G6350,S
3222,53530,B5,G6350,S
3223,53803,B5,G6350,S
3224,53510,B5,G6350,S
3225,83238,B5,G6350,S
3226,83220,B5,G6350,S
3227,83239,B5,G6350,S
3228,83272,B5,G6350,S
3229,83254,B5,G6350,S
3230,83287,B5,G6350,S
3231,832XX,B5,G6350,S
3232,83276,B5,G6350,S
3233,83223,B5,G6350,S
3234,83261,B5,G6350,S
3235,2169,B5,G6350,S
3236,2186,B5,G6350,S
3237,2482,B5,G6350,S
3238,2189,B5,G6350,S
3239,2762,B5,G6350,S
3240,2190,B5,G6350,S
3241,2021,B5,G6350,S
3242,2322,B5,G6350,S
3243,2081,B5,G6350,S
3244,2184,B5,G6350,S
3245,2038,B5,G6350,S
3246,2090,B5,G6350,S
3247,2191,B5,G6350,S
3248,2188,B5,G6350,S
3249,2035,B5,G6350,S
3250,2032,B5,G6350,S
3251,2067,B5,G6350,S
3252,2071,B5,G6350,S
3253,2072,B5,G6350,S
3254,2019,B5,G6350,S
3255,2025,B5,G6350,S
3256,2446,B5,G6350,S
3257,2368,B5,G6350,S
3258,2170,B5,G6350,S
3259,2343,B5,G6350,S
3260,2171,B5,G6350,S
3261,2494,B5,G6350,S
3262,2492,B5,G6350,S
3263,2093,B5,G6350,S
3264,2056,B5,G6350,S
3265,2026,B5,G6350,S
3266,021HH,B5,G6350,S
3267,2053,B5,G6350,S
3268,2052,B5,G6350,S
3269,2445,B5,G6350,S
3270,2481,B5,G6350,S
3271,2062,B5,G6350,S
3272,2030,B5,G6350,S
3273,020HH,B5,G6350,S
3274,2054,B5,G6350,S
3275,2575,B5,G6350,S
3276,2568,B5,G6350,S
3277,2539,B5,G6350,S
3278,2713,B5,G6350,S
3279,2535,B5,G6350,S
3280,1351,B5,G6350,S
3281,1375,B5,G6350,S
3282,1380,B5,G6350,S
3283,1350,B5,G6350,S
3284,1349,B5,G6350,S
3285,1338,B5,G6350,S
3286,013HH,B5,G6350,S
3287,1340,B5,G6350,S
3288,1367,B5,G6350,S
3289,1344,B5,G6350,S
3290,1376,B5,G6350,S
3291,1360,B5,G6350,S
3292,1330,B5,G6350,S
3293,1337,B5,G6350,S
3294,1378,B5,G6350,S
3295,1072,B5,G6350,S
3296,1054,B5,G6350,S
3297,1341,B5,G6350,S
3298,1301,B5,G6350,S
3299,1339,B5,G6350,S
3300,1379,B5,G6350,S
3301,1370,B5,G6350,S
3302,1346,B5,G6350,S
3303,1342,B5,G6350,S
3304,1373,B5,G6350,S
3305,1364,B5,G6350,S
3306,1355,B5,G6350,S
3307,4410,B5,G6350,S
3308,4468,B5,G6350,S
3309,4427,B5,G6350,S
3310,4456,B5,G6350,S
3311,4928,B5,G6350,S
3312,4455,B5,G6350,S
3313,4460,B5,G6350,S
3314,4448,B5,G6350,S
3315,4462,B5,G6350,S
3316,4969,B5,G6350,S
3317,4435,B5,G6350,S
3318,4487,B5,G6350,S
3319,4473,B5,G6350,S
3320,4444,B5,G6350,S
3321,4411,B5,G6350,S
3322,4475,B5,G6350,S
3323,4423,B5,G6350,S
3324,4459,B5,G6350,S
3325,4422,B5,G6350,S
3326,4457,B5,G6350,S
3327,4930,B5,G6350,S
3328,4488,B5,G6350,S
3329,4434,B5,G6350,S
3330,4401,B5,G6350,S
3331,4474,B5,G6350,S
3332,4449,B5,G6350,S
3333,4451,B5,G6350,S
3334,4493,B5,G6350,S
3335,4419,B5,G6350,S
3336,4418,B5,G6350,S
3337,4461,B5,G6350,S
3338,4428,B5,G6350,S
3339,4417,B5,G6350,S
3340,4495,B5,G6350,S
3341,4450,B5,G6350,S
3342,4953,B5,G6350,S
3343,4932,B5,G6350,S
3344,4430,B5,G6350,S
3345,4412,B5,G6350,S
3346,4939,B5,G6350,S
3347,2554,B5,G6350,S
3348,1013,B5,G6350,S
3349,1057,B5,G6350,S
3350,1022,B5,G6350,S
3351,1095,B5,G6350,S
3352,1071,B5,G6350,S
3353,1056,B5,G6350,S
3354,1103,B5,G6350,S
3355,1129,B5,G6350,S
3356,1119,B5,G6350,S
3357,1089,B5,G6350,S
3358,1001,B5,G6350,S
3359,1107,B5,G6350,S
3360,011HH,B5,G6350,S
3361,1040,B5,G6350,S
3362,1034,B5,G6350,S
3363,1030,B5,G6350,S
3364,1080,B5,G6350,S
3365,1108,B5,G6350,S
3366,1028,B5,G6350,S
3367,1118,B5,G6350,S
3368,1109,B5,G6350,S
3369,1010,B5,G6350,S
3370,1077,B5,G6350,S
3371,1151,B5,G6350,S
3372,1104,B5,G6350,S
3373,1081,B5,G6350,S
3374,1105,B5,G6350,S
3375,1020,B5,G6350,S
3376,1069,B5,G6350,S
3377,1036,B5,G6350,S
3378,1085,B5,G6350,S
3379,1521,B5,G6350,S
3380,1128,B5,G6350,S
3381,1106,B5,G6350,S
3382,1008,B5,G6350,S
3383,4611,B5,G6350,S
3384,4648,B5,G6350,S
3385,4231,B5,G6350,S
3386,4220,B5,G6350,S
3387,4217,B5,G6350,S
3388,4219,B5,G6350,S
3389,4216,B5,G6350,S
3390,4290,B5,G6350,S
3391,042XX,B5,G6350,S
3392,4051,B5,G6350,S
3393,4238,B5,G6350,S
3394,4088,B5,G6350,S
3395,4292,B5,G6350,S
3396,4237,B5,G6350,S
3397,4037,B5,G6350,S
3398,4281,B5,G6350,S
3399,4068,B5,G6350,S
3400,4221,B5,G6350,S
3401,4261,B5,G6350,S
3402,4255,B5,G6350,S
3403,4226,B5,G6350,S
3404,4275,B5,G6350,S
3405,4041,B5,G6350,S
3406,4010,B5,G6350,S
3407,4268,B5,G6350,S
3408,4276,B5,G6350,S
3409,4270,B5,G6350,S
3410,4257,B5,G6350,S
3411,4289,B5,G6350,S
3412,4022,B5,G6350,S
3413,4925,B5,G6350,S
3414,4971,B5,G6350,S
3415,4937,B5,G6350,S
3416,4954,B5,G6350,S
3417,4924,B5,G6350,S
3418,4920,B5,G6350,S
3419,4943,B5,G6350,S
3420,4945,B5,G6350,S
3421,4957,B5,G6350,S
3422,4929,B5,G6350,S
3423,4911,B5,G6350,S
3424,4976,B5,G6350,S
3425,4978,B5,G6350,S
3426,4912,B5,G6350,S
3427,4950,B5,G6350,S
3428,4985,B5,G6350,S
3429,4967,B5,G6350,S
3430,4923,B5,G6350,S
3431,4942,B5,G6350,S
3432,4958,B5,G6350,S
3433,4979,B5,G6350,S
3434,4961,B5,G6350,S
3435,4965,B5,G6350,S
3436,1950,B5,G6350,S
3437,1907,B5,G6350,S
3438,019HH,B5,G6350,S
3439,1913,B5,G6350,S
3440,1969,B5,G6350,S
3441,1949,B5,G6350,S
3442,1985,B5,G6350,S
3443,1970,B5,G6350,S
3444,1905,B5,G6350,S
3445,1960,B5,G6350,S
3446,1915,B5,G6350,S
3447,1944,B5,G6350,S
3448,1984,B5,G6350,S
3449,1966,B5,G6350,S
3450,1906,B5,G6350,S
3451,1832,B5,G6350,S
3452,1938,B5,G6350,S
3453,018HH,B5,G6350,S
3454,1940,B5,G6350,S
3455,1860,B5,G6350,S
3456,1835,B5,G6350,S
3457,1923,B5,G6350,S
3458,1983,B5,G6350,S
3459,1951,B5,G6350,S
3460,1945,B5,G6350,S
3461,1845,B5,G6350,S
3462,1922,B5,G6350,S
3463,1982,B5,G6350,S
3464,1952,B5,G6350,S
3465,1929,B5,G6350,S
3466,1834,B5,G6350,S
3467,1908,B5,G6350,S
3468,1841,B5,G6350,S
3469,1930,B5,G6350,S
3470,1840,B5,G6350,S
3471,1830,B5,G6350,S
3472,1904,B5,G6350,S
3473,1902,B5,G6350,S
3474,1844,B5,G6350,S
3475,1843,B5,G6350,S
3476,1833,B5,G6350,S
3477,1921,B5,G6350,S
3478,1810,B5,G6350,S
3479,4548,B5,G6350,S
3480,4086,B5,G6350,S
3481,4562,B5,G6350,S
3482,4530,B5,G6350,S
3483,4287,B5,G6350,S
3484,4357,B5,G6350,S
3485,4579,B5,G6350,S
3486,4008,B5,G6350,S
3487,4413,B5,G6350,S
3488,4655,B5,G6350,S
3489,4622,B5,G6350,S
3490,4694,B5,G6350,S
3491,4631,B5,G6350,S
3492,4643,B5,G6350,S
3493,4658,B5,G6350,S
3494,4691,B5,G6350,S
3495,4667,B5,G6350,S
3496,4626,B5,G6350,S
3497,4671,B5,G6350,S
3498,4623,B5,G6350,S
3499,4630,B5,G6350,S
3500,4668,B5,G6350,S
3501,4680,B5,G6350,S
3502,4619,B5,G6350,S
3503,4649,B5,G6350,S
3504,4652,B5,G6350,S
3505,4666,B5,G6350,S
3506,4490,B5,G6350,S
3507,4606,B5,G6350,S
3508,4657,B5,G6350,S
3509,4654,B5,G6350,S
3510,4628,B5,G6350,S
3511,1721,B5,G6350,S
3512,1773,B5,G6350,S
3513,1803,B5,G6350,S
3514,2148,B5,G6350,S
3515,1852,B5,G6350,S
3516,2149,B5,G6350,S
3517,1890,B5,G6350,S
3518,1752,B5,G6350,S
3519,1469,B5,G6350,S
3520,2465,B5,G6350,S
3521,2141,B5,G6350,S
3522,1432,B5,G6350,S
3523,1718,B5,G6350,S
3524,1886,B5,G6350,S
3525,2452,B5,G6350,S
3526,2493,B5,G6350,S
3527,1720,B5,G6350,S
3528,1862,B5,G6350,S
3529,1867,B5,G6350,S
3530,2468,B5,G6350,S
3531,2142,B5,G6350,S
3532,2476,B5,G6350,S
3533,1770,B5,G6350,S
3534,2461,B5,G6350,S
3535,1854,B5,G6350,S
3536,2478,B5,G6350,S
3537,1742,B5,G6350,S
3538,2464,B5,G6350,S
3539,1731,B5,G6350,S
3540,1431,B5,G6350,S
3541,1730,B5,G6350,S
3542,1826,B5,G6350,S
3543,2140,B5,G6350,S
3544,1879,B5,G6350,S
3545,1880,B5,G6350,S
3546,1760,B5,G6350,S
3547,1775,B5,G6350,S
3548,1746,B5,G6350,S
3549,2139,B5,G6350,S
3550,1821,B5,G6350,S
3551,2180,B5,G6350,S
3552,1702,B5,G6350,S
3553,2145,B5,G6350,S
3554,1778,B5,G6350,S
3555,1876,B5,G6350,S
3556,1776,B5,G6350,S
3557,2460,B5,G6350,S
3558,2472,B5,G6350,S
3559,2459,B5,G6350,S
3560,1474,B5,G6350,S
3561,2462,B5,G6350,S
3562,2138,B5,G6350,S
3563,1748,B5,G6350,S
3564,2176,B5,G6350,S
3565,1863,B5,G6350,S
3566,1824,B5,G6350,S
3567,2466,B5,G6350,S
3568,1864,B5,G6350,S
3569,1851,B5,G6350,S
3570,1701,B5,G6350,S
3571,1463,B5,G6350,S
3572,1741,B5,G6350,S
3573,1450,B5,G6350,S
3574,2467,B5,G6350,S
3575,1827,B5,G6350,S
3576,2474,B5,G6350,S
3577,1532,B5,G6350,S
3578,1749,B5,G6350,S
3579,1719,B5,G6350,S
3580,2155,B5,G6350,S
3581,2144,B5,G6350,S
3582,2453,B5,G6350,S
3583,2451,B5,G6350,S
3584,2143,B5,G6350,S
3585,2420,B5,G6350,S
3586,1887,B5,G6350,S
3587,1464,B5,G6350,S
3588,2421,B5,G6350,S
3589,1460,B5,G6350,S
3590,2458,B5,G6350,S
3591,1801,B5,G6350,S
3592,1754,B5,G6350,S
3593,1850,B5,G6350,S
3594,1564,B5,G6350,S
3595,1520,B5,G6350,S
3596,1581,B5,G6350,S
3597,1522,B5,G6350,S
3598,015HH,B5,G6350,S
3599,1453,B5,G6350,S
3600,1518,B5,G6350,S
3601,014HH,B5,G6350,S
3602,1510,B5,G6350,S
3603,1083,B5,G6350,S
3604,1536,B5,G6350,S
3605,1473,B5,G6350,S
3606,1092,B5,G6350,S
3607,1772,B5,G6350,S
3608,1368,B5,G6350,S
3609,1602,B5,G6350,S
3610,1747,B5,G6350,S
3611,1590,B5,G6350,S
3612,1524,B5,G6350,S
3613,1504,B5,G6350,S
3614,1545,B5,G6350,S
3615,1507,B5,G6350,S
3616,1452,B5,G6350,S
3617,1440,B5,G6350,S
3618,1611,B5,G6350,S
3619,1068,B5,G6350,S
3620,1523,B5,G6350,S
3621,1571,B5,G6350,S
3622,1568,B5,G6350,S
3623,1745,B5,G6350,S
3624,1560,B5,G6350,S
3625,1608,B5,G6350,S
3626,1542,B5,G6350,S
3627,1534,B5,G6350,S
3628,1606,B5,G6350,S
3629,1467,B5,G6350,S
3630,1331,B5,G6350,S
3631,1566,B5,G6350,S
3632,1543,B5,G6350,S
3633,1585,B5,G6350,S
3634,1540,B5,G6350,S
3635,1436,B5,G6350,S
3636,1583,B5,G6350,S
3637,1740,B5,G6350,S
3638,1366,B5,G6350,S
3639,1541,B5,G6350,S
3640,1005,B5,G6350,S
3641,1537,B5,G6350,S
3642,1609,B5,G6350,S
3643,1506,B5,G6350,S
3644,1607,B5,G6350,S
3645,1468,B5,G6350,S
3646,1462,B5,G6350,S
3647,1475,B5,G6350,S
3648,1529,B5,G6350,S
3649,1516,B5,G6350,S
3650,1603,B5,G6350,S
3651,1570,B5,G6350,S
3652,1519,B5,G6350,S
3653,1604,B5,G6350,S
3654,1756,B5,G6350,S
3655,016HH,B5,G6350,S
3656,1515,B5,G6350,S
3657,1503,B5,G6350,S
3658,1562,B5,G6350,S
3659,1451,B5,G6350,S
3660,1535,B5,G6350,S
3661,1610,B5,G6350,S
3662,1605,B5,G6350,S
3663,1037,B5,G6350,S
3664,1612,B5,G6350,S
3665,1588,B5,G6350,S
3666,1420,B5,G6350,S
3667,1501,B5,G6350,S
3668,1438,B5,G6350,S
3669,1031,B5,G6350,S
3670,1430,B5,G6350,S
3671,1550,B5,G6350,S
3672,1569,B5,G6350,S
3673,1505,B5,G6350,S
3674,1527,B5,G6350,S
3675,1757,B5,G6350,S
3676,1531,B5,G6350,S
3677,58007,B5,G6350,S
3678,58078,B5,G6350,S
3679,58051,B5,G6350,S
3680,58005,B5,G6350,S
3681,58102,B5,G6350,S
3682,58042,B5,G6350,S
3683,58004,B5,G6350,S
3684,58059,B5,G6350,S
3685,58011,B5,G6350,S
3686,58048,B5,G6350,S
3687,58036,B5,G6350,S
3688,58038,B5,G6350,S
3689,58104,B5,G6350,S
3690,58029,B5,G6350,S
3691,58012,B5,G6350,S
3692,58035,B5,G6350,S
3693,58103,B5,G6350,S
3694,58079,B5,G6350,S
3695,58021,B5,G6350,S
3696,58006,B5,G6350,S
3697,58047,B5,G6350,S
3698,58052,B5,G6350,S
3699,58456,B5,G6350,S
3700,58439,B5,G6350,S
3701,58413,B5,G6350,S
3702,58433,B5,G6350,S
3703,58436,B5,G6350,S
3704,58474,B5,G6350,S
3705,58458,B5,G6350,S
3706,58441,B5,G6350,S
3707,57446,B5,G6350,S
3708,58622,B5,G6350,S
3709,58642,B5,G6350,S
3710,58634,B5,G6350,S
3711,586XX,B5,G6350,S
3712,58645,B5,G6350,S
3713,58627,B5,G6350,S
3714,58520,B5,G6350,S
3715,58535,B5,G6350,S
3716,58529,B5,G6350,S
3717,58638,B5,G6350,S
3718,58533,B5,G6350,S
3719,58569,B5,G6350,S
3720,58563,B5,G6350,S
3721,58631,B5,G6350,S
3722,58564,B5,G6350,S
3723,58647,B5,G6350,S
3724,58787,B5,G6350,S
3725,58725,B5,G6350,S
3726,58318,B5,G6350,S
3727,58760,B5,G6350,S
3728,58384,B5,G6350,S
3729,58782,B5,G6350,S
3730,58750,B5,G6350,S
3731,58793,B5,G6350,S
3732,58748,B5,G6350,S
3733,58740,B5,G6350,S
3734,58711,B5,G6350,S
3735,58762,B5,G6350,S
3736,58761,B5,G6350,S
3737,58789,B5,G6350,S
3738,58329,B5,G6350,S
3739,58783,B5,G6350,S
3740,58472,B5,G6350,S
3741,58415,B5,G6350,S
3742,58431,B5,G6350,S
3743,58454,B5,G6350,S
3744,58490,B5,G6350,S
3745,58489,B5,G6350,S
3746,58621,B5,G6350,S
3747,58654,B5,G6350,S
3748,58632,B5,G6350,S
3749,58736,B5,G6350,S
3750,58710,B5,G6350,S
3751,58778,B5,G6350,S
3752,58781,B5,G6350,S
3753,58744,B5,G6350,S
3754,58747,B5,G6350,S
3755,58731,B5,G6350,S
3756,58712,B5,G6350,S
3757,58741,B5,G6350,S
3758,58788,B5,G6350,S
3759,58768,B5,G6350,S
3760,58792,B5,G6350,S
3761,58790,B5,G6350,S
3762,58713,B5,G6350,S
3763,587HH,B5,G6350,S
3764,58030,B5,G6350,S
3765,58061,B5,G6350,S
3766,58008,B5,G6350,S
3767,58075,B5,G6350,S
3768,58058,B5,G6350,S
3769,58077,B5,G6350,S
3770,58001,B5,G6350,S
3771,58039,B5,G6350,S
3772,58018,B5,G6350,S
3773,58041,B5,G6350,S
3774,58081,B5,G6350,S
3775,58053,B5,G6350,S
3776,58015,B5,G6350,S
3777,58353,B5,G6350,S
3778,58316,B5,G6350,S
3779,58310,B5,G6350,S
3780,58367,B5,G6350,S
3781,58369,B5,G6350,S
3782,58625,B5,G6350,S
3783,58652,B5,G6350,S
3784,58636,B5,G6350,S
3785,58640,B5,G6350,S
3786,58757,B5,G6350,S
3787,58601,B5,G6350,S
3788,58626,B5,G6350,S
3789,58656,B5,G6350,S
3790,58630,B5,G6350,S
3791,58566,B5,G6350,S
3792,58570,B5,G6350,S
3793,592HH,B5,G6350,S
3794,588HH,B5,G6350,S
3795,58854,B5,G6350,S
3796,58831,B5,G6350,S
3797,58838,B5,G6350,S
3798,58763,B5,G6350,S
3799,58847,B5,G6350,S
3800,58801,B5,G6350,S
3801,59221,B5,G6350,S
3802,58835,B5,G6350,S
3803,58756,B5,G6350,S
3804,58734,B5,G6350,S
3805,58852,B5,G6350,S
3806,58718,B5,G6350,S
3807,58769,B5,G6350,S
3808,58776,B5,G6350,S
3809,58794,B5,G6350,S
3810,58068,B5,G6350,S
3811,58060,B5,G6350,S
3812,58057,B5,G6350,S
3813,58033,B5,G6350,S
3814,58054,B5,G6350,S
3815,58069,B5,G6350,S
3816,58530,B5,G6350,S
3817,58554,B5,G6350,S
3818,58313,B5,G6350,S
3819,58758,B5,G6350,S
3820,58366,B5,G6350,S
3821,58385,B5,G6350,S
3822,58359,B5,G6350,S
3823,58651,B5,G6350,S
3824,58643,B5,G6350,S
3825,58653,B5,G6350,S
3826,58623,B5,G6350,S
3827,58727,B5,G6350,S
3828,58784,B5,G6350,S
3829,58755,B5,G6350,S
3830,58721,B5,G6350,S
3831,58737,B5,G6350,S
3832,58772,B5,G6350,S
3833,58746,B5,G6350,S
3834,58773,B5,G6350,S
3835,58752,B5,G6350,S
3836,58321,B5,G6350,S
3837,58259,B5,G6350,S
3838,58254,B5,G6350,S
3839,58272,B5,G6350,S
3840,58344,B5,G6350,S
3841,58224,B5,G6350,S
3842,58361,B5,G6350,S
3843,58382,B5,G6350,S
3844,58301,B5,G6350,S
3845,58330,B5,G6350,S
3846,58345,B5,G6350,S
3847,58327,B5,G6350,S
3848,58362,B5,G6350,S
3849,16613,B5,G6350,S
3850,16648,B5,G6350,S
3851,16682,B5,G6350,S
3852,16631,B5,G6350,S
3853,16635,B5,G6350,S
3854,16602,B5,G6350,S
3855,16601,B5,G6350,S
3856,16636,B5,G6350,S
3857,16617,B5,G6350,S
3858,16686,B5,G6350,S
3859,16641,B5,G6350,S
3860,16665,B5,G6350,S
3861,16637,B5,G6350,S
3862,16693,B5,G6350,S
3863,16802,B5,G6350,S
3864,16859,B5,G6350,S
3865,16874,B5,G6350,S
3866,16870,B5,G6350,S
3867,16823,B5,G6350,S
3868,16677,B5,G6350,S
3869,16829,B5,G6350,S
3870,16844,B5,G6350,S
3871,16879,B5,G6350,S
3872,16828,B5,G6350,S
3873,16856,B5,G6350,S
3874,16866,B5,G6350,S
3875,16803,B5,G6350,S
3876,168XX,B5,G6350,S
3877,16872,B5,G6350,S
3878,16853,B5,G6350,S
3879,16877,B5,G6350,S
3880,16820,B5,G6350,S
3881,16875,B5,G6350,S
3882,16801,B5,G6350,S
3883,16826,B5,G6350,S
3884,168HH,B5,G6350,S
3885,16841,B5,G6350,S
3886,16827,B5,G6350,S
3887,16865,B5,G6350,S
3888,16854,B5,G6350,S
3889,16822,B5,G6350,S
3890,16864,B5,G6350,S
3891,16832,B5,G6350,S
3892,16860,B5,G6350,S
3893,16666,B5,G6350,S
3894,16852,B5,G6350,S
3895,16845,B5,G6350,S
3896,16882,B5,G6350,S
3897,16851,B5,G6350,S
3898,16040,B5,G6350,S
3899,16030,B5,G6350,S
3900,16045,B5,G6350,S
3901,16034,B5,G6350,S
3902,16033,B5,G6350,S
3903,16001,B5,G6350,S
3904,160HH,B5,G6350,S
3905,16373,B5,G6350,S
3906,16035,B5,G6350,S
3907,16127,B5,G6350,S
3908,16052,B5,G6350,S
3909,16053,B5,G6350,S
3910,16024,B5,G6350,S
3911,16066,B5,G6350,S
3912,16038,B5,G6350,S
3913,16020,B5,G6350,S
3914,16027,B5,G6350,S
3915,16057,B5,G6350,S
3916,16029,B5,G6350,S
3917,16022,B5,G6350,S
3918,16056,B5,G6350,S
3919,16002,B5,G6350,S
3920,16051,B5,G6350,S
3921,16050,B5,G6350,S
3922,16061,B5,G6350,S
3923,16630,B5,G6350,S
3924,15724,B5,G6350,S
3925,15934,B5,G6350,S
3926,15909,B5,G6350,S
3927,15942,B5,G6350,S
3928,15927,B5,G6350,S
3929,159HH,B5,G6350,S
3930,16619,B5,G6350,S
3931,15760,B5,G6350,S
3932,15925,B5,G6350,S
3933,15956,B5,G6350,S
3934,16640,B5,G6350,S
3935,15762,B5,G6350,S
3936,15957,B5,G6350,S
3937,15961,B5,G6350,S
3938,15775,B5,G6350,S
3939,15958,B5,G6350,S
3940,15901,B5,G6350,S
3941,16646,B5,G6350,S
3942,15963,B5,G6350,S
3943,15948,B5,G6350,S
3944,15940,B5,G6350,S
3945,15902,B5,G6350,S
3946,15905,B5,G6350,S
3947,15938,B5,G6350,S
3948,15773,B5,G6350,S
3949,15904,B5,G6350,S
3950,15931,B5,G6350,S
3951,15955,B5,G6350,S
3952,15943,B5,G6350,S
3953,15930,B5,G6350,S
3954,16624,B5,G6350,S
3955,15906,B5,G6350,S
3956,15714,B5,G6350,S
3957,15952,B5,G6350,S
3958,15722,B5,G6350,S
3959,16639,B5,G6350,S
3960,16668,B5,G6350,S
3961,18850,B5,G6350,S
3962,18853,B5,G6350,S
3963,16925,B5,G6350,S
3964,16914,B5,G6350,S
3965,18837,B5,G6350,S
3966,188HH,B5,G6350,S
3967,186HH,B5,G6350,S
3968,18831,B5,G6350,S
3969,18848,B5,G6350,S
3970,18833,B5,G6350,S
3971,18830,B5,G6350,S
3972,18832,B5,G6350,S
3973,18845,B5,G6350,S
3974,17724,B5,G6350,S
3975,177XX,B5,G6350,S
3976,18623,B5,G6350,S
3977,16947,B5,G6350,S
3978,16926,B5,G6350,S
3979,16936,B5,G6350,S
3980,18854,B5,G6350,S
3981,18851,B5,G6350,S
3982,18829,B5,G6350,S
3983,18810,B5,G6350,S
3984,18846,B5,G6350,S
3985,18817,B5,G6350,S
3986,18814,B5,G6350,S
3987,18840,B5,G6350,S
3988,15533,B5,G6350,S
3989,16673,B5,G6350,S
3990,16670,B5,G6350,S
3991,16625,B5,G6350,S
3992,16667,B5,G6350,S
3993,16695,B5,G6350,S
3994,15534,B5,G6350,S
3995,16672,B5,G6350,S
3996,16664,B5,G6350,S
3997,17211,B5,G6350,S
3998,15539,B5,G6350,S
3999,16679,B5,G6350,S
4000,16694,B5,G6350,S
4001,15946,B5,G6350,S
4002,15521,B5,G6350,S
4003,15554,B5,G6350,S
4004,16678,B5,G6350,S
4005,16655,B5,G6350,S
4006,15550,B5,G6350,S
4007,15545,B5,G6350,S
4008,155HH,B5,G6350,S
4009,166HH,B5,G6350,S
4010,16650,B5,G6350,S
4011,15535,B5,G6350,S
4012,15537,B5,G6350,S
4013,16662,B5,G6350,S
4014,16659,B5,G6350,S
4015,16633,B5,G6350,S
4016,16657,B5,G6350,S
4017,15559,B5,G6350,S
4018,15522,B5,G6350,S
4019,19504,B5,G6350,S
4020,196HH,B5,G6350,S
4021,19503,B5,G6350,S
4022,19610,B5,G6350,S
4023,19604,B5,G6350,S
4024,19606,B5,G6350,S
4025,19545,B5,G6350,S
4026,19601,B5,G6350,S
4027,19508,B5,G6350,S
4028,19533,B5,G6350,S
4029,19541,B5,G6350,S
4030,17026,B5,G6350,S
4031,17067,B5,G6350,S
4032,195HH,B5,G6350,S
4033,17087,B5,G6350,S
4034,18041,B5,G6350,S
4035,19510,B5,G6350,S
4036,19608,B5,G6350,S
4037,19539,B5,G6350,S
4038,19567,B5,G6350,S
4039,19611,B5,G6350,S
4040,19519,B5,G6350,S
4041,19550,B5,G6350,S
4042,19530,B5,G6350,S
4043,19607,B5,G6350,S
4044,19544,B5,G6350,S
4045,19547,B5,G6350,S
4046,19562,B5,G6350,S
4047,18056,B5,G6350,S
4048,19559,B5,G6350,S
4049,17569,B5,G6350,S
4050,19534,B5,G6350,S
4051,18070,B5,G6350,S
4052,19529,B5,G6350,S
4053,19523,B5,G6350,S
4054,18062,B5,G6350,S
4055,19565,B5,G6350,S
4056,19560,B5,G6350,S
4057,19543,B5,G6350,S
4058,19525,B5,G6350,S
4059,19506,B5,G6350,S
