ID,ZCTA5CE00,CLASSFP00,MTFCC00,FUNCSTAT00
226,19941,B5,G6350,S
227,19930,B5,G6350,S
228,19971,B5,G6350,S
229,19947,B5,G6350,S
230,19944,B5,G6350,S
231,19945,B5,G6350,S
232,19951,B5,G6350,S
233,19967,B5,G6350,S
234,6751,B5,G6350,S
235,6782,B5,G6350,S
236,067HH,B5,G6350,S
237,6757,B5,G6350,S
238,6779,B5,G6350,S
239,6063,B5,G6350,S
240,6058,B5,G6350,S
241,6796,B5,G6350,S
242,6098,B5,G6350,S
243,6783,B5,G6350,S
244,6018,B5,G6350,S
245,6793,B5,G6350,S
246,6787,B5,G6350,S
247,6778,B5,G6350,S
248,6039,B5,G6350,S
249,6068,B5,G6350,S
250,6798,B5,G6350,S
251,6755,B5,G6350,S
252,6756,B5,G6350,S
253,6776,B5,G6350,S
254,6750,B5,G6350,S
255,6795,B5,G6350,S
256,6021,B5,G6350,S
257,6790,B5,G6350,S
258,6069,B5,G6350,S
259,6759,B5,G6350,S
260,6024,B5,G6350,S
261,6784,B5,G6350,S
262,6791,B5,G6350,S
263,6785,B5,G6350,S
264,6057,B5,G6350,S
265,6777,B5,G6350,S
266,6763,B5,G6350,S
267,6031,B5,G6350,S
268,6065,B5,G6350,S
269,6752,B5,G6350,S
270,6786,B5,G6350,S
271,6754,B5,G6350,S
272,6794,B5,G6350,S
273,6070,B5,G6350,S
274,6095,B5,G6350,S
275,6027,B5,G6350,S
276,6103,B5,G6350,S
277,6092,B5,G6350,S
278,6107,B5,G6350,S
279,060HH,B5,G6350,S
280,6051,B5,G6350,S
281,6040,B5,G6350,S
282,6074,B5,G6350,S
283,6052,B5,G6350,S
284,6447,B5,G6350,S
285,6082,B5,G6350,S
286,6111,B5,G6350,S
287,6001,B5,G6350,S
288,6105,B5,G6350,S
289,6090,B5,G6350,S
290,6062,B5,G6350,S
291,6117,B5,G6350,S
292,6035,B5,G6350,S
293,6013,B5,G6350,S
294,6020,B5,G6350,S
295,6053,B5,G6350,S
296,6016,B5,G6350,S
297,6093,B5,G6350,S
298,6060,B5,G6350,S
299,6114,B5,G6350,S
300,6002,B5,G6350,S
301,6033,B5,G6350,S
302,6073,B5,G6350,S
303,6022,B5,G6350,S
304,6119,B5,G6350,S
305,6088,B5,G6350,S
306,6010,B5,G6350,S
307,6037,B5,G6350,S
308,6059,B5,G6350,S
309,6091,B5,G6350,S
310,6479,B5,G6350,S
311,6108,B5,G6350,S
312,6081,B5,G6350,S
313,6112,B5,G6350,S
314,6085,B5,G6350,S
315,6089,B5,G6350,S
316,6019,B5,G6350,S
317,6078,B5,G6350,S
318,6489,B5,G6350,S
319,6106,B5,G6350,S
320,6109,B5,G6350,S
321,6096,B5,G6350,S
322,061HH,B5,G6350,S
323,6067,B5,G6350,S
324,6120,B5,G6350,S
325,6026,B5,G6350,S
326,6032,B5,G6350,S
327,6023,B5,G6350,S
328,6118,B5,G6350,S
329,6110,B5,G6350,S
330,6432,B5,G6350,S
331,6880,B5,G6350,S
