"","IdePoAvfu1","IdePoAvse1","Respperzipav1","Zipperdistav1","Stategap"
"1",0.0581018734496891,0.62522749891344,1820.2,69.98,0.262506908111974
"2",0.0581018734496891,0.62522749891344,1820.2,69.98,0.217184777444778
"3",0.0581018734496891,0.62522749891344,1820.2,69.98,0.281595635645666
"4",0.0581018734496891,0.62522749891344,1820.2,69.98,0.0952993662933902
"5",0.0581018734496891,0.62522749891344,1820.2,69.98,0.373269517674459
"6",0.0581018734496891,0.62522749891344,1820.2,69.98,0.0268676421033503
"7",0.0581018734496891,0.62522749891344,1820.2,69.98,0.426865269389153
"8",0.0581018734496891,0.62522749891344,1820.2,69.98,0.430578257690559
"9",0.0581018734496891,0.62522749891344,1820.2,69.98,0.282953583349049
"10",0.0581018734496891,0.62522749891344,1820.2,69.98,0.188061707648562
"11",0.0581018734496891,0.62522749891344,1820.2,69.98,0.0971684803800509
"12",0.0581018734496891,0.62522749891344,1820.2,69.98,0.271871823886555
"13",0.0581018734496891,0.62522749891344,1820.2,69.98,0.114902362952352
"14",0.0581018734496891,0.62522749891344,1820.2,69.98,0.0491885620656451
"15",0.0581018734496891,0.62522749891344,1820.2,69.98,0.0688734385770597
"16",0.0581018734496891,0.62522749891344,1820.2,69.98,0.0247889571958531
"17",0.0581018734496891,0.62522749891344,1820.2,69.98,0.375323679021508
"18",0.0581018734496891,0.62522749891344,1820.2,69.98,0.249097205018365
"19",0.0581018734496891,0.62522749891344,1820.2,69.98,0.157072353057333
"20",0.0581018734496891,0.62522749891344,1820.2,69.98,0.16000714956924
"21",0.0581018734496891,0.62522749891344,1820.2,69.98,0.236720158506354
"22",0.0581018734496891,0.62522749891344,1820.2,69.98,0.0807876949649111
"23",0.0581018734496891,0.62522749891344,1820.2,69.98,0.500114547165368
"24",0.0581018734496891,0.62522749891344,1820.2,69.98,0.326529934722471
"25",0.0581018734496891,0.62522749891344,1820.2,69.98,0.218179227451508
"26",0.0581018734496891,0.62522749891344,1820.2,69.98,0.0739606896022352
"27",0.0581018734496891,0.62522749891344,1820.2,69.98,0.378725744302252
"28",0.0581018734496891,0.62522749891344,1820.2,69.98,0.0527029731920601
"29",0.0581018734496891,0.62522749891344,1820.2,69.98,0.346604460974955
