,median,lower,upper,sd,year,abb
85,0.720499784,0.290799357,1.140784424,0.262106457,1936,OH
86,-0.865139348,-1.353395516,-0.341985166,0.314064721,1936,OK
87,0.070192539,-0.346030986,0.491561365,0.252658923,1936,OR
88,0.599294312,0.166634189,0.989104208,0.25482913,1936,PA
89,0.908507499,0.443743544,1.371048026,0.286152886,1936,RI
90,-1.408836402,-1.784195336,-0.967645778,0.246830789,1936,SC
91,-0.374488338,-0.749898916,0.064997883,0.257984585,1936,SD
92,-1.212230499,-1.65578432,-0.62977158,0.306934677,1936,TN
93,-0.96028198,-1.472312521,-0.425692622,0.317438693,1936,TX
94,0.295076299,-0.112189434,0.68405194,0.247693937,1936,UT
95,-1.181077072,-1.631424923,-0.556267411,0.328230943,1936,VA
96,-0.481154051,-0.898178862,-0.024636475,0.267636987,1936,VT
97,0.721844823,0.289957493,1.203811399,0.273794227,1936,WA
98,0.822123899,0.346483632,1.25775552,0.274120508,1936,WI
99,-1.279253798,-1.69116488,-0.744522272,0.293556453,1936,WV
100,-0.652249915,-1.140817843,-0.172612046,0.297581074,1936,WY
101,NA,NA,NA,NA,1937,AK
102,-0.857959753,-1.327082813,-0.431695699,0.275748096,1937,AL
103,-1.733557781,-2.119130127,-1.444676875,0.206939271,1937,AR
104,-0.166271273,-0.567649382,0.229662809,0.244303235,1937,AZ
105,1.005456215,0.650782689,1.358775318,0.220044781,1937,CA
106,0.728571562,0.345540502,1.109750343,0.22553321,1937,CO
107,0.457560603,0.070341195,0.847288278,0.231251285,1937,CT
108,-0.889362418,-1.409186695,-0.439631161,0.292299965,1937,DE
109,-1.257924151,-1.653783845,-0.799169795,0.271618055,1937,FL
110,-1.054949094,-1.499378174,-0.556311513,0.286367966,1937,GA
111,NA,NA,NA,NA,1937,HI
112,0.021380443,-0.358470694,0.393528021,0.233734319,1937,IA
113,-0.117392896,-0.531474454,0.294258502,0.249145312,1937,ID
114,0.718638341,0.334488326,1.081499049,0.218453127,1937,IL
115,-0.075686116,-0.41198258,0.282517413,0.222194389,1937,IN
116,-0.021223403,-0.409099877,0.363934565,0.229017403,1937,KS
117,-0.624383362,-1.109198398,-0.14865752,0.299768207,1937,KY
118,-0.530210948,-1.010944281,-0.1239272,0.279066451,1937,LA
119,1.102264223,0.708419283,1.449432242,0.221524002,1937,MA
120,-0.276113488,-0.725096826,0.142883714,0.271307198,1937,MD
121,0.229652652,-0.135517946,0.632006732,0.239710888,1937,ME
122,0.765961719,0.442258244,1.105176645,0.207503613,1937,MI
123,0.521996338,0.156022703,0.939526602,0.240984921,1937,MN
124,-0.544037147,-0.972515849,-0.086145406,0.268457714,1937,MO
125,-1.965137277,-2.495372081,-1.636605138,0.273117741,1937,MS
126,-0.035173407,-0.437239015,0.348700527,0.234851659,1937,MT
127,-0.911254662,-1.438187158,-0.37352955,0.31785163,1937,NC
