path,variance,disconnected_components,competitive_districts
be38ca6d-aa55-4b6e-a8d2-82c4e7ad30fa.geojson,3.082819527,0,13
275ff8eb-b3db-4428-a146-3918d84287fe.geojson,3.082819527,0,13
7739b512-86b2-44da-be21-f42e8049082e.geojson,3.082819527,0,13
1870ecfd-1721-4e0d-bd07-b63566fb55fa.geojson,2.339092955,0,14
acec0c26-7435-4caa-9e4f-d54022f3f7fd.geojson,2.339092955,0,14
c42d30f4-111f-4f0f-b093-7e8fe2c13ee3.geojson,2.339092955,0,14
ce7de099-ab3d-4405-b53c-b9f7b312c973.geojson,2.518577771,0,12
1b2776d7-8e65-479f-af85-2e2482e5f0f1.geojson,2.518577771,0,12
a9b10b95-32b8-4c4e-b062-ff3c4d103612.geojson,2.518577771,0,12
bf571011-99c4-4e7a-a314-c39dc08af0b1.geojson,2.518577771,0,12
bc4c8e9e-47e4-4de4-83a9-730ad7c6182f.geojson,2.518577771,0,12
18793a2e-6d7d-4d7c-bd73-2198d6f3ede3.geojson,2.518577771,0,12
2303eaa3-23f9-493e-9cf7-100e0ddb5b43.geojson,2.518577771,0,12
dfccff5b-8735-4c59-abde-3d8eb0016448.geojson,2.518577771,0,12
160dc67c-3a6e-4ddd-96b2-779b6d4dd036.geojson,2.518577771,0,12
ac01eb6d-6a00-4fb5-8ac8-27ca099b2dc7.geojson,2.518577771,0,12
6dfcd6e6-072e-4397-9457-57e01f3512c1.geojson,2.518577771,0,12
fe1eaa2c-a5dc-483f-9018-b46d11df7acf.geojson,2.518577771,0,12
f5ad8598-8de7-4c19-a7e9-7a273b3c0961.geojson,2.518577771,0,12
39502484-5f11-4fbe-9333-a64f6ae1ab85.geojson,2.518577771,0,12
149e7aac-7c10-4b50-be1b-0d039806f216.geojson,2.779983314,0,16
31e59f8d-3009-4ada-bdee-791a9549feef.geojson,2.779983314,0,16
423fc67e-0afd-4aa2-8d66-f2ebd3de25c0.geojson,2.779983314,0,16
0cfb16c1-90c2-412d-bb60-2fec34c75e9a.geojson,2.779983314,0,16
8a6da891-cb12-425e-a3da-48f591b928a6.geojson,2.764064133,0,15
388f1930-14d4-48c7-b96d-465acebc47ba.geojson,2.703648929,0,15
f6dc003c-bc79-42a4-a8d0-68e048976770.geojson,2.764064133,0,15
6f988e6b-634e-417f-89a7-110fd1f34e7e.geojson,2.703648929,0,15
686bcedd-5a5d-4166-8d7c-45264c4c5c9a.geojson,2.779983314,0,16
3383a4ce-f04a-4b11-b67b-ce66bfee26d9.geojson,2.764064133,0,15
c1dff11b-8d6a-446a-94cd-1255ed35d6f0.geojson,2.703648929,0,15
3b0e91d1-fc36-4b57-9904-a1dbd3ea1374.geojson,2.703648929,0,15
d6b22c86-7047-4586-a864-10ac91f053e4.geojson,2.779983314,0,16
f0928bd8-f773-4c1c-9c9d-4a16d692d0c0.geojson,2.779983314,0,16
625c20dd-9eca-406e-a9fc-e377c16ca9dd.geojson,2.764064133,0,15
15e265fa-8fc5-4ec3-8759-9e1a13a3eeb2.geojson,2.779983314,0,16
66113998-179d-4009-9ea9-2b536e94f726.geojson,2.703648929,0,15
91c5b9ba-75ce-4215-9058-a26fb0f357b5.geojson,2.703648929,0,15
2524c0c8-85e6-4f31-9ab7-5551de3a2874.geojson,2.779983314,0,16
a23e28fa-192f-4675-bb2d-aba21291994c.geojson,2.779983314,0,16
1a6e2928-9501-446a-96c3-db15bac24741.geojson,2.320320514,0,11
