room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude
17461475,93374605,Entire home/apt,Petworth,0,0,2,1,75,NA,38.940314,-77.026897
17461526,19466272,Entire home/apt,Brightwood,0,0,2,1,70,NA,38.964385,-77.035613
17464513,92669009,Private room,Ledroit Park,0,0,3,1,195,NA,38.911699,-77.010827
17464583,14761103,Entire home/apt,Foggy Bottom,0,0,2,0,75,NA,38.903322,-77.050267
17464708,20495214,Entire home/apt,Logan Circle,0,0,4,2,188,NA,38.908892,-77.032745
17473616,17261658,Entire home/apt,Capitol Hill,0,0,3,1,76,NA,38.870778,-77.007612
17475404,41648044,Entire home/apt,Capitol Hill,0,0,2,1,145,NA,38.887367,-77.000179
17475753,118371647,Entire home/apt,Adams Morgan,0,0,3,0,65,NA,38.922255,-77.040067
17477588,13109514,Entire home/apt,Stadium-Armory,0,0,4,1,53,NA,38.900618,-76.974636
17477990,6105873,Private room,Adams Morgan,0,0,1,1,57,NA,38.91688,-77.041973
17479941,713403,Entire home/apt,Adams Morgan,0,0,4,2,131,NA,38.918094,-77.045124
17482215,118437722,Entire home/apt,Mount Pleasant,0,0,2,0,63,NA,38.936942,-77.036831
17487806,103488752,Private room,Deanwood,0,0,4,2,80,NA,38.898584,-76.952661
17487953,118485094,Private room,Catholic University-Brookland,0,0,2,1,85,NA,38.942271,-76.989771
17495447,84536154,Private room,Brentwood,0,0,3,1,99,NA,38.9196,-76.999518
17495787,53726219,Entire home/apt,Shaw,0,0,7,3,199,NA,38.914661,-77.018886
17498061,83981454,Entire home/apt,Catholic University-Brookland,0,0,6,3,145,NA,38.950547,-77.010521
17498980,53167991,Entire home/apt,Capitol Hill,0,0,2,1,95,NA,38.885788,-76.987057
17506279,8241685,Entire home/apt,Shaw,1,0,3,1,60,NA,38.908269,-77.015658
17508004,942137,Private room,Catholic University-Brookland,0,0,2,1,50,NA,38.942738,-77.021179
17509376,110363769,Private room,Catholic University-Brookland,0,0,1,1,28,NA,38.946445,-77.021011
17509731,23845531,Entire home/apt,Columbia Heights,0,0,6,2,150,NA,38.924683,-77.034643
17509770,4714927,Entire home/apt,Petworth,0,0,4,2,110,NA,38.939125,-77.02684
17510907,27269043,Entire home/apt,The Palisades,0,0,3,1,90,NA,38.907976,-77.08593
17514644,75810056,Entire home/apt,Mount Pleasant,0,0,2,1,120,NA,38.93136,-77.038767
17515034,59142588,Entire home/apt,Foggy Bottom,0,0,3,1,132,NA,38.901493,-77.054392
17519505,118784826,Entire home/apt,Foggy Bottom,0,0,3,1,80,NA,38.901453,-77.044826
17521188,8059258,Entire home/apt,Ledroit Park,0,0,3,0,150,NA,38.919626,-77.009318
17522475,118807738,Shared room,Stadium-Armory,0,0,1,1,69,NA,38.903415,-76.978446
17526235,81409,Entire home/apt,Woodley Park,0,0,4,2,150,NA,38.926124,-77.051302
17530279,118883777,Entire home/apt,Deanwood,0,0,3,1,250,NA,38.894809,-76.946469
17530726,92602151,Entire home/apt,Brentwood,0,0,6,3,195,NA,38.914062,-76.971854
17531457,116372674,Private room,Brightwood,0,0,2,1,63,NA,38.951545,-77.027792
17538148,30317109,Entire home/apt,Capitol Hill,1,0,2,0,100,NA,38.903128,-77.007003
17542741,4042407,Entire home/apt,Logan Circle,0,0,7,2,150,NA,38.9134,-77.034235
17544252,39930655,Entire home/apt,Foggy Bottom,1,0,3,1,135,NA,38.902418,-77.054838
17544252,39930655,Entire home/apt,Foggy Bottom,9,5,3,1,135,NA,38.903085,-77.053409
17544643,46630199,Entire home/apt,Ledroit Park,0,0,10,4,249,NA,38.920901,-77.009321
17544692,93785855,Entire home/apt,Catholic University-Brookland,0,0,7,2,175,NA,38.939503,-76.995316
17544996,119026240,Entire home/apt,Fort Totten-Upper Northeast,1,0,4,2,100,NA,38.976827,-77.022688
17546696,812802,Private room,Capitol Hill,0,0,2,1,72,NA,38.891114,-76.98558
17547106,119028324,Entire home/apt,Glover Park,0,0,2,1,175,NA,38.916731,-77.069376
17547106,119028324,Entire home/apt,Glover Park,7,5,2,1,145,NA,38.918356,-77.070543
17554310,95847260,Entire home/apt,Foggy Bottom,0,0,4,1,130,NA,38.90276,-77.055021
17556451,119026240,Private room,Fort Totten-Upper Northeast,0,0,2,1,59,NA,38.97829,-77.023172
17558492,108624574,Entire home/apt,South West,0,0,7,2,141,NA,38.876411,-77.010861
17559095,10513500,Entire home/apt,U Street Corridor,0,0,4,2,300,NA,38.914208,-77.036154
17560654,61159661,Entire home/apt,Georgetown,0,0,10,4,149,NA,38.906553,-77.05813
17561775,78975753,Entire home/apt,Columbia Heights,0,0,4,2,74,NA,38.933322,-77.028384
17564257,4627,Private room,Catholic University-Brookland,0,0,2,0,45,NA,38.951068,-76.991515
17566027,82332119,Entire home/apt,Takoma Park,0,0,10,6,850,NA,38.980804,-77.026792
17567903,41369561,Private room,Brentwood,2,0,2,1,40,NA,38.92157,-77.001502
17568055,40894735,Entire home/apt,Shaw,0,0,3,1,208,NA,38.909119,-77.021541
17568900,119287016,Entire home/apt,Logan Circle,0,0,4,2,300,NA,38.910555,-77.031649
17570750,59972719,Entire home/apt,Chevy Chase,0,0,3,1,85,NA,38.95212,-77.066984
17573208,46710176,Entire home/apt,Shaw,0,0,4,1,199,NA,38.906538,-77.022709
17573903,119348938,Entire home/apt,Foggy Bottom,0,0,4,0,600,NA,38.906753,-77.052248
17574087,20983866,Entire home/apt,Adams Morgan,0,0,4,1,69,NA,38.925645,-77.04045
17576138,95965731,Shared room,Shaw,0,0,2,1,80,NA,38.910015,-77.010856
17582367,46521595,Entire home/apt,Ledroit Park,0,0,4,2,120,NA,38.916259,-77.018607
17582793,11404802,Entire home/apt,Stadium-Armory,0,0,2,1,95,NA,38.882431,-76.980897
17583116,34005462,Entire home/apt,Columbia Heights,0,0,2,1,100,NA,38.924452,-77.032847
17586465,109813481,Entire home/apt,Capitol Hill,0,0,3,1,74,NA,38.895806,-76.984906
17586779,33907571,Entire home/apt,Dupont Circle,2,0,2,0,100,NA,38.910552,-77.03766
17587023,9419684,Entire home/apt,Downtown,0,0,3,1,228,NA,38.894146,-77.019126
17588084,26389480,Shared room,Columbia Heights,0,0,1,1,35,NA,38.926895,-77.030517
17588143,6898504,Entire home/apt,Chevy Chase,0,0,5,3,230,NA,38.951171,-77.074675
